,,,EleR_01,HydR_01
period1,sc01,t0582, 0.004498803925 ,
period1,sc01,t0583, 0.0114116002 ,
period1,sc01,t0584, 0.023371835025 ,
period1,sc01,t0585, 0.031272173625 ,
period1,sc01,t0586, 0.0359904314 ,
period1,sc01,t0587, 0.110714467325 ,
period1,sc01,t0588, 0.1847801417 ,
period1,sc01,t0589, 0.20475044205 ,
period1,sc01,t0590, 0.201348907375 ,
period1,sc01,t0591, 0.200909999675 ,
period1,sc01,t0592, 0.2014586343 ,
period1,sc01,t0593, 0.2093589729 ,
period1,sc01,t0594, 0.219344123075 ,
period1,sc01,t0595, 0.20738388825 ,
period1,sc01,t0596, 0.200032184275 ,
period1,sc01,t0597, 0.155044145025 ,
period1,sc01,t0598, 0.03840442375 ,
period1,sc01,t0599, 0.01470340795 ,
period1,sc01,t0600, 0.000548634625 ,
period1,sc01,t0601, 0.011740780975 ,
period1,sc01,t0602, 0.011740780975 ,
period1,sc01,t0603, 0.0136061387 ,
period1,sc01,t0604, 0.01470340795 ,
period1,sc01,t0605, 0.021616204225 ,
period1,sc01,t0606, 0.0697863243 ,
period1,sc01,t0607, 0.178086799275 ,
period1,sc01,t0608, 0.204201807425 ,
period1,sc01,t0609, 0.2071644344 ,
period1,sc01,t0610, 0.214516138375 ,
period1,sc01,t0611, 0.219783030775 ,
period1,sc01,t0612, 0.224172107775 ,
period1,sc01,t0613, 0.235803161825 ,
period1,sc01,t0614, 0.239972784975 ,
period1,sc01,t0615, 0.258406908375 ,
period1,sc01,t0616, 0.3274251442 ,
period1,sc01,t0617, 0.36802410645 ,
period1,sc01,t0618, 0.439017426925 ,
period1,sc01,t0619, 0.4779704853 ,
period1,sc01,t0620, 0.47643430835 ,
period1,sc01,t0621, 0.4498803925 ,
period1,sc01,t0622, 0.48214010845 ,
period1,sc01,t0623, 0.412463511075 ,
period1,sc01,t0624, 0.300103139875 ,
period1,sc01,t0625, 0.43254353835 ,
period1,sc01,t0626, 0.382398333625 ,
period1,sc01,t0627, 0.294616793625 ,
period1,sc01,t0628, 0.1523009719 ,
period1,sc01,t0629, 0.106544844175 ,
period1,sc01,t0630, 0.22889036555 ,
period1,sc01,t0631, 0.373400725775 ,
period1,sc01,t0632, 0.677563761875 ,
period1,sc01,t0633, 0.776866629 ,
period1,sc01,t0634, 0.6236878417 ,
period1,sc01,t0635, 0.50715784735 ,
