,,,EleD_01,HydD1,EleD_02,EleD_03,EleD_04,EleD_05,EleD_06,EleD_07,EleD_08,EleD_09,EleD_10
period1,sc01,t0011, 0.210506384289895 ,, 0.206797044707095 , 0.2205053828107 , 0.211494634280976 , 0.236306467401774 , 0.266767236754477 , 0.273640890810312 , 0.248502456025846 , 3.96254102312469 , 0.236853085204072 
period1,sc01,t0012, 0.201974522549885 ,, 0.30759612399588 , 0.329538838712136 , 0.224060131089475 , 0.237840873122759 , 3.64485010868285 , 3.67595157337671 , 3.66617593248543 , 3.63788714815838 , 3.19148823371735 
period1,sc01,t0013, 0.219706902973393 ,, 0.385874589735417 , 0.207904647572214 , 0.316753664619322 , 0.330244300179203 , 3.7725321613067 , 3.29576391720425 , 0.25935453991402 , 0.243701583266425 , 0.245464817069956 
period1,sc01,t0014, 0.293624699753756 ,, 0.280228951911646 , 0.247937799804564 , 0.232293799647657 , 0.251713182365815 , 3.62966272274753 , 0.24936241488252 , 0.259491714133657 , 6.21098124794968 , 0.234407664478094 
period1,sc01,t0015, 0.237788607329244 ,, 0.213676090586963 , 0.230937811085348 , 0.230837372056743 , 0.222213859948789 , 3.27441456611226 , 3.74127357775269 , 0.236368276052651 , 3.5716528036082 , 3.67943423926725 
period1,sc01,t0016, 0.229599514959657 ,, 0.224776617515469 , 0.218064532480316 , 0.340551617091793 , 0.298682124513757 , 3.36059719839319 , 3.47381680950423 , 0.246650212958234 , 0.242291707880019 , 0.256806001938121 
period1,sc01,t0017, 0.22733785745337 ,, 0.298338265126357 , 0.344055735245092 , 0.462251161737662 , 0.328235748891468 , 0.256728758243692 , 0.254714643995577 , 0.268735722921228 , 0.25566056216104 , 3.64737099744506 
period1,sc01,t0018, 0.222273831126577 ,, 0.496092302173939 , 0.401004280823381 , 0.207110783005679 , 0.21695271426157 , 0.247056693318555 , 4.13917158831948 , 0.525521332270189 , 0.532063979482312 , 3.3617153924832 
period1,sc01,t0019, 0.233193079330997 ,, 0.403250234357853 , 0.24675828917149 , 0.311805095078958 , 0.310154676583135 , 3.42833329521486 , 3.58920233768042 , 6.07350953975244 , 3.33173972536071 , 0.231059711584567 
period1,sc01,t0020, 4.23487853911152 ,, 0.215912263524902 , 0.212374301107441 , 0.228015649417692 , 0.301463781408952 , 0.670291564060112 , 5.86400772158011 , 0.530402272974106 , 0.260324713035768 , 0.236972768549177 
period1,sc01,t0021, 0.197009169483252 ,, 0.477658000061526 , 4.00258205900167 , 0.201396958911934 , 0.459706869931184 , 3.52235177508157 , 0.396686195826228 , 2.14936391987466 , 3.61769582885973 , 0.251754324393367 
period1,sc01,t0022, 0.289532529689888 ,, 0.460623401079186 , 0.4213880399708 , 0.474209596610585 , 0.218136129199792 , 2.43428313939432 , 0.564799464578886 , 0.546294606844191 , 0.270150679064915 , 3.77944353933878 
period1,sc01,t0023, 0.43104248698681 ,, 0.215742574661453 , 0.450038130879627 , 0.469920681533831 , 0.315459447659531 , 0.260382476276123 , 3.50315042835037 , 3.65938772481611 , 0.398560237372913 , 0.388748127162589 
