,,,BESS_01,Wind_01,FC_01
period1,sc01,t0270,,5415.582139110058,0.0
period1,sc01,t0271,,4796.293137697492,0.0
period1,sc01,t0272,,4371.735665502982,0.0
period1,sc01,t0273,,4031.5295668760996,0.0
period1,sc01,t0274,,3367.81456488679,0.0
period1,sc01,t0275,,3108.5677585840594,0.0
period1,sc01,t0276,,2525.4694290306834,0.0
period1,sc01,t0277,,2267.565769729263,0.0
period1,sc01,t0278,,1229.4595349655228,0.0
period1,sc01,t0279,,993.7632334638772,0.0
period1,sc01,t0280,,340.51190275873984,0.0
period1,sc01,t0281,,15.134655103488901,0.0
period1,sc01,t0282,,0.001,0.0
period1,sc01,t0283,,0.001,0.0
period1,sc01,t0284,,0.001,0.0
period1,sc01,t0285,,0.001,0.0
period1,sc01,t0286,,697.3097534126803,0.0
period1,sc01,t0287,,2129.906333621153,0.0
period1,sc01,t0288,,2469.336943526991,0.0
period1,sc01,t0289,,4635.216515749295,0.0
period1,sc01,t0290,,6601.97720557015,0.0
period1,sc01,t0291,,6471.937887650651,0.0
period1,sc01,t0292,,7779.097794336575,0.0
period1,sc01,t0293,,8938.763592976044,0.0
period1,sc01,t0294,,10256.907967608606,0.0
period1,sc01,t0295,,12580.032803338627,0.0
period1,sc01,t0296,,15934.3841055364,0.0
period1,sc01,t0297,,19235.57468899374,0.0
period1,sc01,t0298,,21254.193576865637,0.0
period1,sc01,t0299,,22921.120118089904,0.0
period1,sc01,t0300,,22857.83576817181,0.0
period1,sc01,t0301,,22855.45986335275,0.0
period1,sc01,t0302,,24322.654630997113,0.0
period1,sc01,t0303,,25734.13032263499,0.0
period1,sc01,t0304,,25617.867848975275,0.0
period1,sc01,t0305,,25509.33112570627,0.0
period1,sc01,t0306,,24231.195354410247,0.0
period1,sc01,t0307,,22965.49615680477,0.0
period1,sc01,t0308,,23259.60083769799,0.0
period1,sc01,t0309,,23865.973489070904,0.0
period1,sc01,t0310,,24546.34584798029,0.0
period1,sc01,t0311,,20980.223301919737,0.0
period1,sc01,t0312,,22693.744177257395,0.0
period1,sc01,t0313,,23873.26031524824,0.0
period1,sc01,t0314,,24326.24319945682,0.0
period1,sc01,t0315,,25582.098149707475,0.0
period1,sc01,t0316,,26277.472585671534,0.0
period1,sc01,t0317,,26413.257079637715,0.0
period1,sc01,t0318,,26427.271314718317,0.0
period1,sc01,t0319,,26192.37481372015,0.0
period1,sc01,t0320,,26227.826717666692,0.0
period1,sc01,t0321,,26053.12709582226,0.0
period1,sc01,t0322,,24443.498088657143,0.0
period1,sc01,t0323,,19865.742497844632,0.0
period1,sc01,t0324,,19877.505759515378,0.0
period1,sc01,t0325,,20144.99685855474,0.0
period1,sc01,t0326,,22891.063279522008,0.0
period1,sc01,t0327,,24490.999592535503,0.0
period1,sc01,t0328,,25535.61267099622,0.0
period1,sc01,t0329,,25006.782929487457,0.0
period1,sc01,t0330,,23340.306358983875,0.0
period1,sc01,t0331,,19861.14510342236,0.0
period1,sc01,t0332,,16307.78496869943,0.0
period1,sc01,t0333,,14553.022135438403,0.0
period1,sc01,t0334,,11323.931929301893,0.0
period1,sc01,t0335,,7443.422465057463,0.0
period1,sc01,t0336,,5040.12797749614,0.0
period1,sc01,t0337,,3748.2160195570477,0.0
period1,sc01,t0338,,3497.749447092213,0.0
period1,sc01,t0339,,3274.835876512321,0.0
period1,sc01,t0340,,2067.2270267110143,0.0
period1,sc01,t0341,,425.74356889348417,0.0
period1,sc01,t0342,,22.5160523662509,0.0
period1,sc01,t0343,,0.0312516156096059,0.0
period1,sc01,t0344,,0.001,0.0
period1,sc01,t0345,,0.001,0.0
period1,sc01,t0346,,0.001,0.0
period1,sc01,t0347,,1180.2304900822428,0.0
period1,sc01,t0348,,2148.1608140743333,0.0
period1,sc01,t0349,,2555.350391937581,0.0
period1,sc01,t0350,,2749.203464785899,0.0
period1,sc01,t0351,,3612.8962378033434,0.0
period1,sc01,t0352,,3875.117439402459,0.0
period1,sc01,t0353,,4197.644222508073,0.0
period1,sc01,t0354,,5543.794979139771,0.0
period1,sc01,t0355,,6415.734337267636,0.0
period1,sc01,t0356,,9421.631394790284,0.0
period1,sc01,t0357,,11218.484924268723,0.0
period1,sc01,t0358,,11017.991290909218,0.0
period1,sc01,t0359,,9091.319703161183,0.0
period1,sc01,t0360,,8089.034836145491,0.0
period1,sc01,t0361,,8768.017728852901,0.0
period1,sc01,t0362,,8849.482669907698,0.0
period1,sc01,t0363,,10866.957150272021,0.0
period1,sc01,t0364,,13538.924882115783,0.0
period1,sc01,t0365,,14043.316653192776,0.0
period1,sc01,t0366,,13704.569517716724,0.0
period1,sc01,t0367,,14142.036338448792,0.0
period1,sc01,t0368,,15606.3744358157,0.0
period1,sc01,t0369,,15275.973122624619,0.0
period1,sc01,t0370,,13278.139227371614,0.0
period1,sc01,t0371,,8467.704798313867,0.0
period1,sc01,t0372,,8971.583794026517,0.0
period1,sc01,t0373,,9486.405399043751,0.0
period1,sc01,t0374,,9364.990299211408,0.0
period1,sc01,t0375,,11343.266587631992,0.0
period1,sc01,t0376,,11802.3258056275,0.0
period1,sc01,t0377,,12226.223457545715,0.0
period1,sc01,t0378,,13483.754352381888,0.0
period1,sc01,t0379,,13767.633967594234,0.0
period1,sc01,t0380,,14123.108829800058,0.0
period1,sc01,t0381,,15013.094610430133,0.0
period1,sc01,t0382,,15353.092264657113,0.0
period1,sc01,t0383,,11073.877402171034,0.0
period1,sc01,t0384,,12532.514508846616,0.0
period1,sc01,t0385,,13011.159116580819,0.0
period1,sc01,t0386,,13343.61270649111,0.0
period1,sc01,t0387,,12317.962649537005,0.0
period1,sc01,t0388,,11214.299128739896,0.0
period1,sc01,t0389,,10320.063899810782,0.0
period1,sc01,t0390,,10240.348148183579,0.0
period1,sc01,t0391,,10020.088484763792,0.0
period1,sc01,t0392,,10564.66461182914,0.0
period1,sc01,t0393,,11503.877655028034,0.0
period1,sc01,t0394,,12315.229669606413,0.0
period1,sc01,t0395,,8066.036200890715,0.0
period1,sc01,t0396,,12180.64600451968,0.0
period1,sc01,t0397,,11730.726159018785,0.0
period1,sc01,t0398,,14009.76929534035,0.0
period1,sc01,t0399,,14584.755842224939,0.0
period1,sc01,t0400,,17521.00750282289,0.0
period1,sc01,t0401,,18049.15081408816,0.0
period1,sc01,t0402,,19775.714642177434,0.0
period1,sc01,t0403,,19536.412441771263,0.0
period1,sc01,t0404,,21425.47254232405,0.0
period1,sc01,t0405,,21571.383002457882,0.0
period1,sc01,t0406,,21307.137957053696,0.0
period1,sc01,t0407,,12508.67352183731,0.0
period1,sc01,t0408,,14130.64678088976,0.0
period1,sc01,t0409,,14649.889656130865,0.0
period1,sc01,t0410,,12497.932305157332,0.0
period1,sc01,t0411,,11274.99239029399,0.0
period1,sc01,t0412,,11427.598645496362,0.0
period1,sc01,t0413,,10739.85913157787,0.0
period1,sc01,t0414,,10147.371794150016,0.0
period1,sc01,t0415,,9269.57442868329,0.0
period1,sc01,t0416,,8571.058617028424,0.0
period1,sc01,t0417,,6734.123800654294,0.0
period1,sc01,t0418,,5143.680815875703,0.0
period1,sc01,t0419,,2143.1076725663515,0.0
period1,sc01,t0420,,1766.4308559446572,0.0
period1,sc01,t0421,,1455.371829734237,0.0
period1,sc01,t0422,,1993.3723962232425,0.0
period1,sc01,t0423,,2991.778644278922,0.0
period1,sc01,t0424,,4584.369367697251,0.0
period1,sc01,t0425,,4831.561910992909,0.0
period1,sc01,t0426,,4748.3917857330225,0.0
period1,sc01,t0427,,4993.436852261597,0.0
period1,sc01,t0428,,4631.816769667475,0.0
period1,sc01,t0429,,4199.041190953743,0.0
period1,sc01,t0430,,4137.604846192066,0.0
period1,sc01,t0431,,2415.465648952423,0.0
period1,sc01,t0432,,2397.8826585605116,0.0
period1,sc01,t0433,,2114.2483804607155,0.0
period1,sc01,t0434,,1751.1613167582677,0.0
period1,sc01,t0435,,2211.3684443411084,0.0
period1,sc01,t0436,,2709.2921463645903,0.0
period1,sc01,t0437,,3332.5446092756806,0.0
period1,sc01,t0438,,3509.382913736581,0.0
period1,sc01,t0439,,3198.9946024265314,0.0
period1,sc01,t0440,,2663.062897066532,0.0
period1,sc01,t0441,,2270.974160529911,0.0
period1,sc01,t0442,,3174.8235381584263,0.0
period1,sc01,t0443,,1114.9353711016756,0.0
period1,sc01,t0444,,828.2179895738246,0.0
period1,sc01,t0445,,708.1367073743538,0.0
period1,sc01,t0446,,697.462425236413,0.0
period1,sc01,t0447,,266.23552745162164,0.0
period1,sc01,t0448,,35.2125093194262,0.0
period1,sc01,t0449,,31.0146927256494,0.0
period1,sc01,t0450,,10.5700625528121,0.0
period1,sc01,t0451,,19.818959497925402,0.0
period1,sc01,t0452,,506.8806584151708,0.0
period1,sc01,t0453,,915.921205438807,0.0
period1,sc01,t0454,,1049.08769034146,0.0
period1,sc01,t0455,,1316.9089911923813,0.0
period1,sc01,t0456,,1493.1205259558164,0.0
period1,sc01,t0457,,1445.2990449838148,0.0
period1,sc01,t0458,,1043.8429185723674,0.0
period1,sc01,t0459,,1010.4766211522411,0.0
period1,sc01,t0460,,1676.7492099928127,0.0
period1,sc01,t0461,,2480.6459917447482,0.0
period1,sc01,t0462,,3718.7916059542927,0.0
period1,sc01,t0463,,4140.003627814567,0.0
period1,sc01,t0464,,4397.4820752574915,0.0
period1,sc01,t0465,,5037.382331717613,0.0
period1,sc01,t0466,,5212.509551770748,0.0
period1,sc01,t0467,,4607.606250515531,0.0
period1,sc01,t0468,,4575.128647597252,0.0
period1,sc01,t0469,,4269.370627454663,0.0
period1,sc01,t0470,,4219.397577403889,0.0
period1,sc01,t0471,,4525.718823630322,0.0
period1,sc01,t0472,,5268.910551449669,0.0
period1,sc01,t0473,,6099.908050733369,0.0
period1,sc01,t0474,,6684.359017310145,0.0
period1,sc01,t0475,,7111.785589728507,0.0
period1,sc01,t0476,,7473.835537021017,0.0
period1,sc01,t0477,,7283.494108760652,0.0
period1,sc01,t0478,,6774.095366474691,0.0
period1,sc01,t0479,,6146.092144578241,0.0
period1,sc01,t0480,,5297.554402421697,0.0
period1,sc01,t0481,,3682.309474486079,0.0
period1,sc01,t0482,,3389.3819106364463,0.0
period1,sc01,t0483,,2257.098029344674,0.0
period1,sc01,t0484,,1286.6422395762756,0.0
period1,sc01,t0485,,1420.456619073753,0.0
period1,sc01,t0486,,1781.0503855725142,0.0
period1,sc01,t0487,,1517.176914269148,0.0
period1,sc01,t0488,,1788.1361466777685,0.0
period1,sc01,t0489,,2840.926543959953,0.0
period1,sc01,t0490,,4299.298853221113,0.0
period1,sc01,t0491,,4786.418156355533,0.0
period1,sc01,t0492,,5256.4259393156335,0.0
period1,sc01,t0493,,5708.103130744721,0.0
