,,,BESS_01,Wind_01,FC_01
period1,sc01,t0177,1,0.4907830703511351,1.0
period1,sc01,t0178,1,0.38731426635009564,1.0
period1,sc01,t0179,1,0.21914941019316345,1.0
period1,sc01,t0180,1,0.2665246093234386,1.0
period1,sc01,t0181,1,0.24676287722249843,1.0
period1,sc01,t0182,1,0.3147281405483547,1.0
period1,sc01,t0183,1,0.2927389257690756,1.0
period1,sc01,t0184,1,0.36907863433106014,1.0
period1,sc01,t0185,1,0.40945089179552374,1.0
period1,sc01,t0186,1,0.5349308102037842,1.0
period1,sc01,t0187,1,0.5402914057158913,1.0
period1,sc01,t0188,1,0.4411033428907476,1.0
period1,sc01,t0189,1,0.42563334138252445,1.0
period1,sc01,t0190,1,0.4122110958822965,1.0
period1,sc01,t0191,1,0.4066977017743009,1.0
period1,sc01,t0192,1,0.527293337309841,1.0
period1,sc01,t0193,1,0.652016513795418,1.0
period1,sc01,t0194,1,0.6720532055770294,1.0
period1,sc01,t0195,1,0.5025166781265071,1.0
period1,sc01,t0196,1,0.3537003415500187,1.0
period1,sc01,t0197,1,0.24935183410356457,1.0
period1,sc01,t0198,1,0.17883320393358945,1.0
period1,sc01,t0199,1,0.10686099720503889,1.0
period1,sc01,t0200,1,0.06813978424470864,1.0
period1,sc01,t0201,1,0.038839244183715066,1.0
period1,sc01,t0202,1,0.0075472014823081204,1.0
period1,sc01,t0203,1,0.00131038743130065,1.0
period1,sc01,t0204,1,0.00136831265989452,1.0
period1,sc01,t0205,1,0.00082760393202732,1.0
period1,sc01,t0206,1,0.00025506397452240004,1.0
period1,sc01,t0207,1,0.0,1.0
period1,sc01,t0208,1,0.00028311247871766005,1.0
period1,sc01,t0209,1,0.00112114279910358,1.0
period1,sc01,t0210,1,0.00405566065422702,1.0
period1,sc01,t0211,1,0.00130157028330777,1.0
period1,sc01,t0212,1,0.00111014426780289,1.0
period1,sc01,t0213,1,0.00300618102520296,1.0
period1,sc01,t0214,1,0.02754799229154681,1.0
period1,sc01,t0215,1,0.053059018641793736,1.0
period1,sc01,t0216,1,0.037420407934050784,1.0
period1,sc01,t0217,1,0.030473776465722184,1.0
period1,sc01,t0218,1,0.04077704629868886,1.0
period1,sc01,t0219,1,0.06486634548655615,1.0
period1,sc01,t0220,1,0.07569436894318864,1.0
period1,sc01,t0221,1,0.12379562733736892,1.0
period1,sc01,t0222,1,0.1654113972254931,1.0
period1,sc01,t0223,1,0.21225016518201406,1.0
period1,sc01,t0224,1,0.24200896327194638,1.0
period1,sc01,t0225,1,0.28493796190563875,1.0
period1,sc01,t0226,1,0.3565953527252898,1.0
period1,sc01,t0227,1,0.4316699569117876,1.0
period1,sc01,t0228,1,0.37155125855817456,1.0
period1,sc01,t0229,1,0.3292405608232942,1.0
period1,sc01,t0230,1,0.2852412487242668,1.0
period1,sc01,t0231,1,0.3663238964742924,1.0
period1,sc01,t0232,1,0.39764977722661754,1.0
period1,sc01,t0233,1,0.3773670487542183,1.0
period1,sc01,t0234,1,0.43127157500114616,1.0
period1,sc01,t0235,1,0.5009884992851427,1.0
period1,sc01,t0236,1,0.5232262833538551,1.0
period1,sc01,t0237,1,0.5308236713840491,1.0
period1,sc01,t0238,1,0.5480013512956396,1.0
period1,sc01,t0239,1,0.5865688871664825,1.0
period1,sc01,t0240,1,0.6264971374007814,1.0
period1,sc01,t0241,1,0.5997367685161807,1.0
period1,sc01,t0242,1,0.6501222526399268,1.0
period1,sc01,t0243,1,0.7552394585680463,1.0
period1,sc01,t0244,1,0.7813315797146646,1.0
period1,sc01,t0245,1,0.7867006502420958,1.0
period1,sc01,t0246,1,0.7967342429014568,1.0
period1,sc01,t0247,1,0.7957427328733778,1.0
period1,sc01,t0248,1,0.8019836943793753,1.0
period1,sc01,t0249,1,0.8173329527564284,1.0
period1,sc01,t0250,1,0.8022490601527362,1.0
period1,sc01,t0251,1,0.8575360967010165,1.0
period1,sc01,t0252,1,0.6638018138512561,1.0
period1,sc01,t0253,1,0.6014014451966146,1.0
period1,sc01,t0254,1,0.7499791106654314,1.0
period1,sc01,t0255,1,0.6785907443792063,1.0
period1,sc01,t0256,1,0.5868205023823003,1.0
period1,sc01,t0257,1,0.5278727050530492,1.0
period1,sc01,t0258,1,0.47525709015056394,1.0
period1,sc01,t0259,1,0.4147738405567015,1.0
period1,sc01,t0260,1,0.3627490081812693,1.0
period1,sc01,t0261,1,0.30337759721329527,1.0
period1,sc01,t0262,1,0.26756274365222693,1.0
period1,sc01,t0263,1,0.25572300601936276,1.0
period1,sc01,t0264,1,0.21097685907835814,1.0
period1,sc01,t0265,1,0.20101164615150688,1.0
period1,sc01,t0266,1,0.1877662889188975,1.0
period1,sc01,t0267,1,0.18338312858989853,1.0
period1,sc01,t0268,1,0.18287081874069355,1.0
period1,sc01,t0269,1,0.18529996893230843,1.0
period1,sc01,t0270,1,0.18051940463700195,1.0
period1,sc01,t0271,1,0.15987643792324974,1.0
period1,sc01,t0272,1,0.14572452218343274,1.0
period1,sc01,t0273,1,0.13438431889587,1.0
period1,sc01,t0274,1,0.11226048549622633,1.0
period1,sc01,t0275,1,0.10361892528613531,1.0
period1,sc01,t0276,1,0.08418231430102278,1.0
period1,sc01,t0277,1,0.0755855256576421,1.0
period1,sc01,t0278,1,0.04098198449885076,1.0
period1,sc01,t0279,1,0.03312544111546257,1.0
period1,sc01,t0280,1,0.011350396758624662,1.0
period1,sc01,t0281,1,0.0005044885034496301,1.0
period1,sc01,t0282,1,0.0,1.0
period1,sc01,t0283,1,0.0,1.0
period1,sc01,t0284,1,0.0,1.0
period1,sc01,t0285,1,0.0,1.0
period1,sc01,t0286,1,0.02324365844708934,1.0
period1,sc01,t0287,1,0.07099687778737176,1.0
period1,sc01,t0288,1,0.0823112314508997,1.0
period1,sc01,t0289,1,0.15450721719164318,1.0
period1,sc01,t0290,1,0.22006590685233832,1.0
period1,sc01,t0291,1,0.21573126292168834,1.0
period1,sc01,t0292,1,0.25930325981121916,1.0
period1,sc01,t0293,1,0.2979587864325348,1.0
period1,sc01,t0294,1,0.34189693225362017,1.0
period1,sc01,t0295,1,0.41933442677795424,1.0
period1,sc01,t0296,1,0.5311461368512133,1.0
period1,sc01,t0297,1,0.6411858229664579,1.0
period1,sc01,t0298,1,0.7084731192288546,1.0
period1,sc01,t0299,1,0.7640373372696635,1.0
period1,sc01,t0300,1,0.7619278589390603,1.0
period1,sc01,t0301,1,0.7618486621117584,1.0
period1,sc01,t0302,1,0.8107551543665704,1.0
period1,sc01,t0303,1,0.857804344087833,1.0
period1,sc01,t0304,1,0.8539289282991759,1.0
period1,sc01,t0305,1,0.8503110375235423,1.0
period1,sc01,t0306,1,0.8077065118136749,1.0
period1,sc01,t0307,1,0.765516538560159,1.0
period1,sc01,t0308,1,0.7753200279232664,1.0
period1,sc01,t0309,1,0.7955324496356968,1.0
period1,sc01,t0310,1,0.8182115282660096,1.0
period1,sc01,t0311,1,0.6993407767306579,1.0
period1,sc01,t0312,1,0.7564581392419131,1.0
period1,sc01,t0313,1,0.795775343841608,1.0
period1,sc01,t0314,1,0.8108747733152273,1.0
period1,sc01,t0315,1,0.8527366049902492,1.0
period1,sc01,t0316,1,0.8759157528557178,1.0
period1,sc01,t0317,1,0.8804419026545905,1.0
period1,sc01,t0318,1,0.880909043823944,1.0
period1,sc01,t0319,1,0.8730791604573384,1.0
period1,sc01,t0320,1,0.8742608905888897,1.0
period1,sc01,t0321,1,0.8684375698607419,1.0
period1,sc01,t0322,1,0.8147832696219048,1.0
period1,sc01,t0323,1,0.6621914165948211,1.0
period1,sc01,t0324,1,0.6625835253171792,1.0
period1,sc01,t0325,1,0.6714998952851581,1.0
period1,sc01,t0326,1,0.7630354426507335,1.0
period1,sc01,t0327,1,0.8163666530845167,1.0
period1,sc01,t0328,1,0.8511870890332073,1.0
period1,sc01,t0329,1,0.8335594309829152,1.0
period1,sc01,t0330,1,0.7780102119661292,1.0
period1,sc01,t0331,1,0.6620381701140786,1.0
period1,sc01,t0332,1,0.543592832289981,1.0
period1,sc01,t0333,1,0.4851007378479468,1.0
period1,sc01,t0334,1,0.3774643976433964,1.0
period1,sc01,t0335,1,0.24811408216858213,1.0
period1,sc01,t0336,1,0.168004265916538,1.0
period1,sc01,t0337,1,0.12494053398523491,1.0
period1,sc01,t0338,1,0.11659164823640711,1.0
period1,sc01,t0339,1,0.10916119588374405,1.0
period1,sc01,t0340,1,0.06890756755703382,1.0
period1,sc01,t0341,1,0.014191452296449471,1.0
period1,sc01,t0342,1,0.0007505350788750301,1.0
period1,sc01,t0343,1,1.0417205203201965e-06,1.0
period1,sc01,t0344,1,0.0,1.0
period1,sc01,t0345,1,0.0,1.0
period1,sc01,t0346,1,0.0,1.0
period1,sc01,t0347,1,0.039341016336074765,1.0
period1,sc01,t0348,1,0.07160536046914444,1.0
period1,sc01,t0349,1,0.08517834639791938,1.0
period1,sc01,t0350,1,0.09164011549286331,1.0
period1,sc01,t0351,1,0.12042987459344479,1.0
period1,sc01,t0352,1,0.1291705813134153,1.0
period1,sc01,t0353,1,0.13992147408360242,1.0
period1,sc01,t0354,1,0.18479316597132572,1.0
period1,sc01,t0355,1,0.21385781124225453,1.0
period1,sc01,t0356,1,0.31405437982634277,1.0
period1,sc01,t0357,1,0.37394949747562406,1.0
period1,sc01,t0358,1,0.36726637636364057,1.0
period1,sc01,t0359,1,0.3030439901053728,1.0
period1,sc01,t0360,1,0.26963449453818306,1.0
period1,sc01,t0361,1,0.2922672576284301,1.0
period1,sc01,t0362,1,0.29498275566358995,1.0
period1,sc01,t0363,1,0.3622319050090674,1.0
period1,sc01,t0364,1,0.45129749607052605,1.0
period1,sc01,t0365,1,0.46811055510642585,1.0
period1,sc01,t0366,1,0.45681898392389075,1.0
period1,sc01,t0367,1,0.47140121128162643,1.0
period1,sc01,t0368,1,0.5202124811938568,1.0
