,,,EleR_01,HydR_01
period1,sc01,t0226,1.37121369,132.8052
period1,sc01,t0227,1.264305504,132.8052
period1,sc01,t0228,1.201112363,132.8052
period1,sc01,t0229,1.162598855,132.8052
period1,sc01,t0230,1.2114047659999998,132.8052
period1,sc01,t0231,1.3906917859999999,132.8052
period1,sc01,t0232,1.442485814,132.8052
period1,sc01,t0233,1.5284771810000002,132.8052
period1,sc01,t0234,1.504129561,132.8052
period1,sc01,t0235,1.0624416,132.8052
period1,sc01,t0236,0.6084691579999999,132.8052
period1,sc01,t0237,0.507869219,132.8052
period1,sc01,t0238,0.444786749,132.8052
period1,sc01,t0239,0.365878326,132.8052
period1,sc01,t0240,0.30799739299999995,132.8052
period1,sc01,t0241,0.241484122,132.8052
period1,sc01,t0242,0.194559618,132.8052
period1,sc01,t0243,0.110781671,132.8052
period1,sc01,t0244,0.194227605,132.8052
period1,sc01,t0245,0.275792132,132.8052
period1,sc01,t0246,0.30102512,132.8052
period1,sc01,t0247,0.388787223,132.8052
period1,sc01,t0248,0.425862008,132.8052
period1,sc01,t0249,0.44854956300000004,132.8052
period1,sc01,t0250,0.464043503,132.8052
period1,sc01,t0251,0.46503954200000003,132.8052
period1,sc01,t0252,0.45928465,132.8052
period1,sc01,t0253,0.481972205,132.8052
period1,sc01,t0254,0.480976166,132.8052
period1,sc01,t0255,0.487505755,132.8052
period1,sc01,t0256,0.5151735049999999,132.8052
period1,sc01,t0257,0.5545723810000001,132.8052
period1,sc01,t0258,0.5191576609999999,132.8052
period1,sc01,t0259,0.490604543,132.8052
period1,sc01,t0260,0.468470343,132.8052
period1,sc01,t0261,0.47046242099999996,132.8052
period1,sc01,t0262,0.448660234,132.8052
period1,sc01,t0263,0.390115275,132.8052
period1,sc01,t0264,0.34219473200000006,132.8052
period1,sc01,t0265,0.289404665,132.8052
period1,sc01,t0266,0.278337565,132.8052
period1,sc01,t0267,0.335886485,132.8052
period1,sc01,t0268,0.378937504,132.8052
period1,sc01,t0269,0.391221985,132.8052
period1,sc01,t0270,0.39719821899999996,132.8052
period1,sc01,t0271,0.40361713699999996,132.8052
period1,sc01,t0272,0.434494346,132.8052
period1,sc01,t0273,0.5925325339999999,132.8052
period1,sc01,t0274,0.768499424,132.8052
period1,sc01,t0275,0.887802762,132.8052
period1,sc01,t0276,0.794839122,132.8052
period1,sc01,t0277,0.750017367,132.8052
period1,sc01,t0278,0.976892917,132.8052
period1,sc01,t0279,1.193697406,132.8052
period1,sc01,t0280,1.4430391689999997,132.8052
period1,sc01,t0281,1.5306906009999999,132.8052
period1,sc01,t0282,1.620998137,132.8052
period1,sc01,t0283,1.345095334,132.8052
period1,sc01,t0284,1.155737253,132.8052
period1,sc01,t0285,1.151310413,132.8052
period1,sc01,t0286,0.803692802,132.8052
period1,sc01,t0287,0.46636759400000005,132.8052
period1,sc01,t0288,0.356139278,132.8052
period1,sc01,t0289,0.35624994899999995,132.8052
period1,sc01,t0290,0.331127632,132.8052
period1,sc01,t0291,0.29538089900000003,132.8052
period1,sc01,t0292,0.282875076,132.8052
period1,sc01,t0293,0.342305403,132.8052
period1,sc01,t0294,0.376060058,132.8052
period1,sc01,t0295,0.556785801,132.8052
period1,sc01,t0296,0.7275511539999999,132.8052
period1,sc01,t0297,0.378826833,132.8052
period1,sc01,t0298,0.304898605,132.8052
period1,sc01,t0299,0.29217144,132.8052
period1,sc01,t0300,0.277341526,132.8052
period1,sc01,t0301,0.239270702,132.8052
period1,sc01,t0302,0.224108775,132.8052
period1,sc01,t0303,0.217800528,132.8052
period1,sc01,t0304,0.217579186,132.8052
period1,sc01,t0305,0.21625113399999998,132.8052
period1,sc01,t0306,0.202638601,132.8052
period1,sc01,t0307,0.185595267,132.8052
