,,,EleD_01,HydD1,EleD_02
period1,sc01,t0214, 4.13 ,, 1.4 
period1,sc01,t0215, 3.45 ,, 2.04 
period1,sc01,t0216, 3.82 ,, 1.56 
period1,sc01,t0217, 4.28 ,, 1.5 
period1,sc01,t0218, 3.01 ,, 1.2 
period1,sc01,t0219, 2.88 ,, 1.53 
period1,sc01,t0220, 3.95 ,, 1.22 
period1,sc01,t0221, 3.07 ,, 1.51 
period1,sc01,t0222, 4.26 ,, 1.34 
period1,sc01,t0223, 2.86 ,, 1.54 
period1,sc01,t0224, 4.11 ,, 1.92 
period1,sc01,t0225, 2.75 ,, 1.53 
period1,sc01,t0226, 5 ,, 1.7 
period1,sc01,t0227, 4.19 ,, 1.34 
period1,sc01,t0228, 3.77 ,, 1.17 
period1,sc01,t0229, 4.39 ,, 1.88 
period1,sc01,t0230, 2.7 ,, 4.02 
period1,sc01,t0231, 2.87 ,, 4.31 
period1,sc01,t0232, 3.93 ,, 2.36 
period1,sc01,t0233, 3.28 ,, 1.75 
period1,sc01,t0234, 3.41 ,, 1.4 
period1,sc01,t0235, 4.26 ,, 1.54 
period1,sc01,t0236, 4.95 ,, 1.57 
period1,sc01,t0237, 4.26 ,, 1.29 
period1,sc01,t0238, 4.88 ,, 1.35 
period1,sc01,t0239, 2.9 ,, 1.48 
period1,sc01,t0240, 2.65 ,, 1.13 
period1,sc01,t0241, 3.87 ,, 1.28 
period1,sc01,t0242, 2.92 ,, 1.44 
period1,sc01,t0243, 5.07 ,, 1.09 
period1,sc01,t0244, 4.8 ,, 1.25 
period1,sc01,t0245, 4.18 ,, 2.33 
period1,sc01,t0246, 4.39 ,, 1.94 
period1,sc01,t0247, 8.17 ,, 3.56 
period1,sc01,t0248, 4.3 ,, 1.78 
period1,sc01,t0249, 4.19 ,, 0.8 
period1,sc01,t0250, 5.31 ,, 1.33 
period1,sc01,t0251, 5.22 ,, 0.97 
period1,sc01,t0252, 5.44 ,, 0.91 
period1,sc01,t0253, 2.4 ,, 1.21 
period1,sc01,t0254, 5.04 ,, 0.8 
period1,sc01,t0255, 2.8 ,, 0.88 
period1,sc01,t0256, 3.4 ,, 1.24 
period1,sc01,t0257, 2.93 ,, 1.05 
period1,sc01,t0258, 4.5 ,, 1.31 
period1,sc01,t0259, 3.77 ,, 0.96 
period1,sc01,t0260, 5.81 ,, 1.38 
period1,sc01,t0261, 3.37 ,, 0.9 
period1,sc01,t0262, 2.77 ,, 1.28 
period1,sc01,t0263, 3.37 ,, 0.77 
period1,sc01,t0264, 3.43 ,, 0.78 
period1,sc01,t0265, 3.89 ,, 1.15 
period1,sc01,t0266, 2.58 ,, 0.78 
period1,sc01,t0267, 5.33 ,, 0.8 
period1,sc01,t0268, 3.16 ,, 1.31 
period1,sc01,t0269, 2.93 ,, 1.84 
period1,sc01,t0270, 4.2 ,, 1.9 
period1,sc01,t0271, 3.05 ,, 2.6 
period1,sc01,t0272, 4.62 ,, 1.05 
period1,sc01,t0273, 3.71 ,, 1.2 
period1,sc01,t0274, 2.97 ,, 1.04 
period1,sc01,t0275, 3.66 ,, 0.88 
period1,sc01,t0276, 11.93 ,, 1.07 
period1,sc01,t0277, 4.93 ,, 0.95 
period1,sc01,t0278, 3.94 ,, 0.97 
period1,sc01,t0279, 4 ,, 1.14 
period1,sc01,t0280, 3.68 ,, 0.83 
period1,sc01,t0281, 1.89 ,, 0.93 
period1,sc01,t0282, 3.92 ,, 1.46 
period1,sc01,t0283, 2.93 ,, 1.68 
period1,sc01,t0284, 3.8 ,, 3.81 
period1,sc01,t0285, 4.42 ,, 1.94 
period1,sc01,t0286, 2.85 ,, 1.64 
period1,sc01,t0287, 3.81 ,, 0.96 
period1,sc01,t0288, 3.95 ,, 1.23 
period1,sc01,t0289, 4.24 ,, 1.04 
period1,sc01,t0290, 2.59 ,, 0.92 
period1,sc01,t0291, 4.97 ,, 1.4 
period1,sc01,t0292, 4.66 ,, 1.18 
period1,sc01,t0293, 4.08 ,, 2.03 
period1,sc01,t0294, 4.17 ,, 2.37 
period1,sc01,t0295, 5.09 ,, 2.26 
period1,sc01,t0296, 5.48 ,, 1 
period1,sc01,t0297, 4.03 ,, 1.27 
period1,sc01,t0298, 4.04 ,, 1.04 
period1,sc01,t0299, 3.99 ,, 0.76 
period1,sc01,t0300, 3.94 ,, 0.95 
period1,sc01,t0301, 3.24 ,, 0.64 
period1,sc01,t0302, 3.74 ,, 0.8 
period1,sc01,t0303, 2.85 ,, 0.44 
period1,sc01,t0304, 3.98 ,, 0.45 
period1,sc01,t0305, 3.24 ,, 0.98 
period1,sc01,t0306, 3.96 ,, 0.69 
period1,sc01,t0307, 3.91 ,, 0.86 
period1,sc01,t0308, 5.1 ,, 1.37 
period1,sc01,t0309, 5.23 ,, 2.34 
period1,sc01,t0310, 4.23 ,, 4.1 
period1,sc01,t0311, 4.02 ,, 1.93 
period1,sc01,t0312, 9.34 ,, 1.23 
period1,sc01,t0313, 7.72 ,, 1.34 
period1,sc01,t0314, 7.99 ,, 1.43 
period1,sc01,t0315, 7.84 ,, 1.16 
period1,sc01,t0316, 7.83 ,, 1.58 
period1,sc01,t0317, 8.74 ,, 1.28 
period1,sc01,t0318, 8.44 ,, 1.92 
period1,sc01,t0319, 7.99 ,, 2.14 
period1,sc01,t0320, 7.93 ,, 1.67 
period1,sc01,t0321, 8.73 ,, 1.25 
period1,sc01,t0322, 8.42 ,, 1.47 
period1,sc01,t0323, 4.83 ,, 1.21 
period1,sc01,t0324, 4.41 ,, 1.18 
period1,sc01,t0325, 10.89 ,, 1.42 
period1,sc01,t0326, 10.85 ,, 1.05 
period1,sc01,t0327, 7.4 ,, 1.41 
period1,sc01,t0328, 10.49 ,, 1.01 
period1,sc01,t0329, 7.44 ,, 2.95 
period1,sc01,t0330, 10.11 ,, 1.87 
period1,sc01,t0331, 11.52 ,, 2.42 
period1,sc01,t0332, 12.12 ,, 3.53 
period1,sc01,t0333, 12.89 ,, 2.07 
period1,sc01,t0334, 8.57 ,, 1.36 
period1,sc01,t0335, 7.92 ,, 1.8 
period1,sc01,t0336, 8.19 ,, 1.53 
period1,sc01,t0337, 8.5 ,, 1.78 
period1,sc01,t0338, 8.08 ,, 1.53 
period1,sc01,t0339, 9.03 ,, 1.8 
period1,sc01,t0340, 9.85 ,, 1.73 
period1,sc01,t0341, 8.58 ,, 2.74 
period1,sc01,t0342, 9.5 ,, 3.2 
period1,sc01,t0343, 12.83 ,, 2.78 
