,,,EleD_01,HydD1,EleD_02
period1,sc01,t4521, 1.82 ,, 0.96 
period1,sc01,t4522, 1.99 ,, 0.43 
period1,sc01,t4523, 0.62 ,, 0.62 
period1,sc01,t4524, 0.23 ,, 0.45 
period1,sc01,t4525, 0.3 ,, 0.34 
period1,sc01,t4526, 0.5 ,, 0.42 
period1,sc01,t4527, 0.25 ,, 0.64 
period1,sc01,t4528, 2.02 ,, 0.44 
period1,sc01,t4529, 0.69 ,, 0.39 
period1,sc01,t4530, 0.28 ,, 0.88 
period1,sc01,t4531, 1.91 ,, 0.91 
period1,sc01,t4532, 3.13 ,, 1.38 
period1,sc01,t4533, 0.3 ,, 1.09 
period1,sc01,t4534, 0.31 ,, 0.93 
period1,sc01,t4535, 0.26 ,, 0.38 
period1,sc01,t4536, 0.21 ,, 0.34 
period1,sc01,t4537, 0.22 ,, 0.65 
period1,sc01,t4538, 0.52 ,, 0.29 
period1,sc01,t4539, 0.2 ,, 0.34 
period1,sc01,t4540, 0.2 ,, 0.59 
period1,sc01,t4541, 0.29 ,, 0.34 
period1,sc01,t4542, 0.24 ,, 1.43 
period1,sc01,t4543, 0.54 ,, 1.06 
period1,sc01,t4544, 0.18 ,, 0.57 
period1,sc01,t4545, 0.45 ,, 0.32 
period1,sc01,t4546, 0.37 ,, 0.25 
period1,sc01,t4547, 0.71 ,, 0.61 
period1,sc01,t4548, 1.8 ,, 0.26 
period1,sc01,t4549, 0.19 ,, 0.31 
period1,sc01,t4550, 1.58 ,, 0.26 
period1,sc01,t4551, 2.34 ,, 0.59 
period1,sc01,t4552, 1.01 ,, 0.27 
period1,sc01,t4553, 0.89 ,, 1.15 
period1,sc01,t4554, 0.54 ,, 0.95 
period1,sc01,t4555, 0.92 ,, 0.35 
period1,sc01,t4556, 0.58 ,, 0.38 
period1,sc01,t4557, 1.06 ,, 0.46 
period1,sc01,t4558, 0.45 ,, 0.76 
period1,sc01,t4559, 0.28 ,, 0.4 
period1,sc01,t4560, 1.02 ,, 0.36 
period1,sc01,t4561, 0.85 ,, 0.65 
period1,sc01,t4562, 0.62 ,, 0.33 
period1,sc01,t4563, 0.82 ,, 0.36 
period1,sc01,t4564, 0.56 ,, 0.33 
period1,sc01,t4565, 0.98 ,, 0.64 
period1,sc01,t4566, 0.21 ,, 0.33 
period1,sc01,t4567, 0.24 ,, 0.32 
period1,sc01,t4568, 0.6 ,, 0.59 
period1,sc01,t4569, 0.8 ,, 0.41 
period1,sc01,t4570, 2.09 ,, 0.71 
period1,sc01,t4571, 1.11 ,, 0.7 
period1,sc01,t4572, 0.44 ,, 0.36 
period1,sc01,t4573, 1.07 ,, 0.98 
period1,sc01,t4574, 0.67 ,, 0.74 
period1,sc01,t4575, 1.08 ,, 1.41 
period1,sc01,t4576, 1.36 ,, 1.56 
period1,sc01,t4577, 2.53 ,, 1.36 
period1,sc01,t4578, 2.31 ,, 0.67 
period1,sc01,t4579, 0.31 ,, 0.35 
period1,sc01,t4580, 0.45 ,, 0.38 
period1,sc01,t4581, 0.77 ,, 0.73 
period1,sc01,t4582, 0.31 ,, 0.36 
period1,sc01,t4583, 0.22 ,, 0.34 
period1,sc01,t4584, 0.28 ,, 0.64 
period1,sc01,t4585, 0.22 ,, 0.29 
period1,sc01,t4586, 0.56 ,, 0.36 
period1,sc01,t4587, 0.23 ,, 1.04 
period1,sc01,t4588, 0.17 ,, 0.33 
period1,sc01,t4589, 0.56 ,, 0.63 
period1,sc01,t4590, 0.58 ,, 0.34 
period1,sc01,t4591, 0.23 ,, 0.26 
period1,sc01,t4592, 0.53 ,, 0.68 
period1,sc01,t4593, 1.14 ,, 0.76 
period1,sc01,t4594, 0.9 ,, 1.29 
period1,sc01,t4595, 0.42 ,, 1.69 
period1,sc01,t4596, 0.26 ,, 0.67 
period1,sc01,t4597, 0.47 ,, 2.18 
period1,sc01,t4598, 0.65 ,, 1.44 
period1,sc01,t4599, 0.39 ,, 0.92 
period1,sc01,t4600, 1.95 ,, 1.32 
period1,sc01,t4601, 1.16 ,, 3.16 
period1,sc01,t4602, 0.86 ,, 1.01 
period1,sc01,t4603, 1.44 ,, 1.02 
period1,sc01,t4604, 0.36 ,, 1.2 
period1,sc01,t4605, 0.32 ,, 0.75 
period1,sc01,t4606, 0.72 ,, 0.7 
period1,sc01,t4607, 0.28 ,, 0.82 
period1,sc01,t4608, 0.23 ,, 0.45 
period1,sc01,t4609, 0.26 ,, 0.42 
period1,sc01,t4610, 0.21 ,, 0.66 
period1,sc01,t4611, 0.17 ,, 0.42 
period1,sc01,t4612, 0.51 ,, 0.41 
period1,sc01,t4613, 0.24 ,, 0.36 
period1,sc01,t4614, 0.19 ,, 1.17 
period1,sc01,t4615, 0.28 ,, 0.52 
period1,sc01,t4616, 1.01 ,, 0.89 
period1,sc01,t4617, 0.89 ,, 2.62 
period1,sc01,t4618, 0.63 ,, 1.02 
period1,sc01,t4619, 0.3 ,, 0.44 
period1,sc01,t4620, 0.93 ,, 0.67 
period1,sc01,t4621, 0.42 ,, 0.38 
period1,sc01,t4622, 1.38 ,, 0.4 
period1,sc01,t4623, 1.34 ,, 0.34 
period1,sc01,t4624, 1.07 ,, 0.69 
period1,sc01,t4625, 0.48 ,, 0.38 
period1,sc01,t4626, 0.42 ,, 0.35 
period1,sc01,t4627, 0.29 ,, 0.77 
period1,sc01,t4628, 0.57 ,, 1.16 
period1,sc01,t4629, 0.31 ,, 0.5 
period1,sc01,t4630, 0.54 ,, 0.44 
period1,sc01,t4631, 0.25 ,, 0.73 
period1,sc01,t4632, 0.21 ,, 0.35 
period1,sc01,t4633, 0.56 ,, 0.43 
period1,sc01,t4634, 0.21 ,, 0.55 
period1,sc01,t4635, 0.18 ,, 0.56 
period1,sc01,t4636, 0.22 ,, 0.44 
period1,sc01,t4637, 0.2 ,, 0.34 
period1,sc01,t4638, 0.55 ,, 1.75 
period1,sc01,t4639, 0.16 ,, 0.53 
period1,sc01,t4640, 0.43 ,, 0.41 
period1,sc01,t4641, 2.02 ,, 0.74 
period1,sc01,t4642, 11.67 ,, 0.57 
period1,sc01,t4643, 2.67 ,, 0.57 
period1,sc01,t4644, 0.38 ,, 0.69 
period1,sc01,t4645, 0.53 ,, 0.62 
period1,sc01,t4646, 0.15 ,, 0.56 
period1,sc01,t4647, 0.13 ,, 0.46 
period1,sc01,t4648, 0.17 ,, 0.8 
period1,sc01,t4649, 0.15 ,, 0.53 
period1,sc01,t4650, 0.48 ,, 1.79 
period1,sc01,t4651, 0.29 ,, 1.67 
period1,sc01,t4652, 0.32 ,, 0.79 
period1,sc01,t4653, 0.72 ,, 0.99 
period1,sc01,t4654, 0.35 ,, 0.45 
period1,sc01,t4655, 0.72 ,, 0.48 
period1,sc01,t4656, 0.22 ,, 0.59 
period1,sc01,t4657, 0.21 ,, 0.99 
period1,sc01,t4658, 0.24 ,, 0.43 
period1,sc01,t4659, 0.43 ,, 0.55 
period1,sc01,t4660, 0.3 ,, 0.55 
period1,sc01,t4661, 0.22 ,, 0.74 
period1,sc01,t4662, 0.18 ,, 1.14 
period1,sc01,t4663, 0.24 ,, 0.66 
period1,sc01,t4664, 0.95 ,, 0.51 
period1,sc01,t4665, 0.84 ,, 0.43 
period1,sc01,t4666, 1.36 ,, 0.86 
period1,sc01,t4667, 0.68 ,, 0.48 
period1,sc01,t4668, 0.49 ,, 0.36 
period1,sc01,t4669, 0.41 ,, 0.43 
period1,sc01,t4670, 0.23 ,, 0.69 
period1,sc01,t4671, 0.66 ,, 0.43 
period1,sc01,t4672, 1.06 ,, 0.38 
period1,sc01,t4673, 0.61 ,, 1.46 
period1,sc01,t4674, 0.45 ,, 1.34 
period1,sc01,t4675, 0.33 ,, 0.75 
period1,sc01,t4676, 0.68 ,, 1.01 
period1,sc01,t4677, 1.74 ,, 0.49 
period1,sc01,t4678, 0.7 ,, 0.47 
period1,sc01,t4679, 0.36 ,, 0.72 
period1,sc01,t4680, 0.61 ,, 0.43 
period1,sc01,t4681, 0.89 ,, 0.49 
period1,sc01,t4682, 0.63 ,, 0.61 
period1,sc01,t4683, 0.26 ,, 0.84 
period1,sc01,t4684, 0.64 ,, 0.45 
period1,sc01,t4685, 0.63 ,, 0.44 
period1,sc01,t4686, 0.53 ,, 1.01 
period1,sc01,t4687, 0.87 ,, 0.62 
period1,sc01,t4688, 0.85 ,, 2.11 
period1,sc01,t4689, 0.44 ,, 4.15 
period1,sc01,t4690, 0.64 ,, 3.26 
period1,sc01,t4691, 2.08 ,, 0.51 
period1,sc01,t4692, 0.4 ,, 0.86 
period1,sc01,t4693, 0.29 ,, 1.44 
period1,sc01,t4694, 0.21 ,, 0.76 
period1,sc01,t4695, 1.36 ,, 2.03 
period1,sc01,t4696, 0.36 ,, 1.62 
period1,sc01,t4697, 0.81 ,, 0.87 
period1,sc01,t4698, 0.88 ,, 1.36 
period1,sc01,t4699, 2 ,, 2.29 
period1,sc01,t4700, 4.99 ,, 1.81 
period1,sc01,t4701, 0.66 ,, 0.93 
period1,sc01,t4702, 0.5 ,, 0.8 
period1,sc01,t4703, 0.4 ,, 0.54 
period1,sc01,t4704, 0.22 ,, 0.73 
period1,sc01,t4705, 0.22 ,, 0.59 
period1,sc01,t4706, 0.24 ,, 0.56 
period1,sc01,t4707, 0.23 ,, 0.79 
period1,sc01,t4708, 0.42 ,, 0.44 
period1,sc01,t4709, 0.68 ,, 0.55 
period1,sc01,t4710, 0.19 ,, 0.89 
period1,sc01,t4711, 0.37 ,, 0.51 
period1,sc01,t4712, 0.45 ,, 0.45 
period1,sc01,t4713, 0.69 ,, 0.83 
period1,sc01,t4714, 0.23 ,, 0.63 
period1,sc01,t4715, 0.34 ,, 2.5 
period1,sc01,t4716, 1.99 ,, 4.04 
period1,sc01,t4717, 2.3 ,, 4.03 
period1,sc01,t4718, 1.85 ,, 0.39 
period1,sc01,t4719, 2.76 ,, 0.64 
period1,sc01,t4720, 1.01 ,, 1.1 
period1,sc01,t4721, 0.77 ,, 1.86 
period1,sc01,t4722, 0.85 ,, 1.57 
period1,sc01,t4723, 0.63 ,, 1.09 
period1,sc01,t4724, 0.4 ,, 1.37 
period1,sc01,t4725, 0.4 ,, 1.07 
period1,sc01,t4726, 1.46 ,, 0.97 
period1,sc01,t4727, 0.22 ,, 1.32 
period1,sc01,t4728, 0.2 ,, 0.61 
period1,sc01,t4729, 0.17 ,, 0.58 
period1,sc01,t4730, 0.19 ,, 0.54 
period1,sc01,t4731, 0.29 ,, 0.84 
period1,sc01,t4732, 0.21 ,, 0.48 
period1,sc01,t4733, 0.55 ,, 0.55 
period1,sc01,t4734, 0.2 ,, 0.93 
period1,sc01,t4735, 0.17 ,, 0.55 
period1,sc01,t4736, 0.31 ,, 0.56 
period1,sc01,t4737, 0.51 ,, 0.94 
period1,sc01,t4738, 1.78 ,, 1.43 
period1,sc01,t4739, 0.68 ,, 0.69 
period1,sc01,t4740, 0.36 ,, 0.98 
period1,sc01,t4741, 0.5 ,, 0.65 
period1,sc01,t4742, 3.92 ,, 1.14 
period1,sc01,t4743, 2.85 ,, 1.12 
period1,sc01,t4744, 0.19 ,, 1.1 
period1,sc01,t4745, 0.21 ,, 1.58 
period1,sc01,t4746, 0.19 ,, 2.8 
period1,sc01,t4747, 0.55 ,, 2.15 
period1,sc01,t4748, 0.44 ,, 3.14 
period1,sc01,t4749, 0.4 ,, 2.15 
period1,sc01,t4750, 0.34 ,, 0.82 
period1,sc01,t4751, 0.27 ,, 0.63 
period1,sc01,t4752, 0.22 ,, 0.57 
period1,sc01,t4753, 0.52 ,, 0.92 
period1,sc01,t4754, 0.17 ,, 0.55 
period1,sc01,t4755, 0.27 ,, 0.51 
period1,sc01,t4756, 0.25 ,, 0.59 
period1,sc01,t4757, 0.43 ,, 0.95 
period1,sc01,t4758, 0.35 ,, 0.6 
period1,sc01,t4759, 0.28 ,, 0.68 
period1,sc01,t4760, 1.56 ,, 0.93 
period1,sc01,t4761, 1.6 ,, 2.46 
period1,sc01,t4762, 1.03 ,, 1.45 
period1,sc01,t4763, 0.71 ,, 1.03 
period1,sc01,t4764, 0.3 ,, 0.72 
period1,sc01,t4765, 0.31 ,, 1.07 
period1,sc01,t4766, 0.31 ,, 0.71 
period1,sc01,t4767, 0.23 ,, 0.97 
period1,sc01,t4768, 1.12 ,, 1.54 
period1,sc01,t4769, 0.88 ,, 1.24 
period1,sc01,t4770, 1.28 ,, 0.89 
period1,sc01,t4771, 2.05 ,, 0.96 
period1,sc01,t4772, 0.93 ,, 0.5 
period1,sc01,t4773, 0.55 ,, 0.46 
period1,sc01,t4774, 0.52 ,, 0.73 
period1,sc01,t4775, 0.31 ,, 0.4 
period1,sc01,t4776, 0.62 ,, 0.45 
period1,sc01,t4777, 0.19 ,, 0.32 
period1,sc01,t4778, 0.57 ,, 0.83 
period1,sc01,t4779, 0.19 ,, 0.39 
period1,sc01,t4780, 0.26 ,, 0.35 
period1,sc01,t4781, 0.23 ,, 0.43 
period1,sc01,t4782, 0.48 ,, 0.98 
period1,sc01,t4783, 0.21 ,, 0.96 
period1,sc01,t4784, 0.47 ,, 0.57 
period1,sc01,t4785, 0.48 ,, 0.53 
period1,sc01,t4786, 1 ,, 1.23 
period1,sc01,t4787, 1.08 ,, 0.59 
period1,sc01,t4788, 0.41 ,, 0.34 
period1,sc01,t4789, 1.58 ,, 0.39 
period1,sc01,t4790, 0.8 ,, 0.41 
period1,sc01,t4791, 0.64 ,, 0.55 
period1,sc01,t4792, 0.34 ,, 3.67 
period1,sc01,t4793, 0.47 ,, 2.35 
period1,sc01,t4794, 0.28 ,, 0.74 
period1,sc01,t4795, 0.84 ,, 0.89 
period1,sc01,t4796, 0.42 ,, 0.95 
period1,sc01,t4797, 1.02 ,, 0.55 
period1,sc01,t4798, 3.77 ,, 0.94 
period1,sc01,t4799, 0.69 ,, 0.52 
period1,sc01,t4800, 0.64 ,, 0.53 
period1,sc01,t4801, 0.97 ,, 0.63 
period1,sc01,t4802, 0.65 ,, 0.76 
period1,sc01,t4803, 0.24 ,, 0.4 
period1,sc01,t4804, 0.25 ,, 0.48 
period1,sc01,t4805, 0.62 ,, 0.86 
period1,sc01,t4806, 0.21 ,, 0.47 
period1,sc01,t4807, 0.21 ,, 1.26 
period1,sc01,t4808, 0.47 ,, 0.48 
period1,sc01,t4809, 1.65 ,, 0.7 
period1,sc01,t4810, 0.57 ,, 0.42 
period1,sc01,t4811, 0.7 ,, 0.39 
period1,sc01,t4812, 1.77 ,, 0.7 
period1,sc01,t4813, 0.35 ,, 0.41 
period1,sc01,t4814, 0.84 ,, 0.33 
period1,sc01,t4815, 1.16 ,, 0.39 
period1,sc01,t4816, 0.45 ,, 1.73 
period1,sc01,t4817, 0.36 ,, 1.32 
period1,sc01,t4818, 0.43 ,, 0.61 
period1,sc01,t4819, 0.47 ,, 3.15 
period1,sc01,t4820, 0.57 ,, 1.23 
period1,sc01,t4821, 0.87 ,, 0.86 
period1,sc01,t4822, 0.52 ,, 0.74 
period1,sc01,t4823, 0.36 ,, 0.42 
period1,sc01,t4824, 0.39 ,, 0.39 
period1,sc01,t4825, 0.41 ,, 0.59 
period1,sc01,t4826, 0.72 ,, 0.5 
period1,sc01,t4827, 0.42 ,, 0.4 
period1,sc01,t4828, 0.42 ,, 0.42 
period1,sc01,t4829, 0.51 ,, 0.7 
period1,sc01,t4830, 0.82 ,, 0.83 
period1,sc01,t4831, 0.45 ,, 0.41 
period1,sc01,t4832, 1.99 ,, 0.29 
period1,sc01,t4833, 0.85 ,, 0.67 
period1,sc01,t4834, 1.18 ,, 0.39 
period1,sc01,t4835, 0.45 ,, 0.41 
period1,sc01,t4836, 0.49 ,, 0.38 
period1,sc01,t4837, 1.4 ,, 0.68 
period1,sc01,t4838, 1.9 ,, 0.38 
period1,sc01,t4839, 0.43 ,, 0.38 
period1,sc01,t4840, 1.45 ,, 0.63 
period1,sc01,t4841, 1.52 ,, 0.71 
period1,sc01,t4842, 0.49 ,, 1.82 
period1,sc01,t4843, 0.8 ,, 2.02 
period1,sc01,t4844, 0.39 ,, 1.78 
period1,sc01,t4845, 0.33 ,, 0.83 
period1,sc01,t4846, 11.01 ,, 0.42 
period1,sc01,t4847, 4 ,, 0.4 
period1,sc01,t4848, 0.22 ,, 0.72 
period1,sc01,t4849, 0.18 ,, 0.42 
period1,sc01,t4850, 0.22 ,, 0.4 
period1,sc01,t4851, 0.19 ,, 0.4 
period1,sc01,t4852, 0.54 ,, 0.73 
period1,sc01,t4853, 0.2 ,, 0.4 
period1,sc01,t4854, 0.26 ,, 1.22 
period1,sc01,t4855, 0.44 ,, 0.51 
period1,sc01,t4856, 0.43 ,, 0.67 
period1,sc01,t4857, 1.6 ,, 0.55 
period1,sc01,t4858, 0.38 ,, 0.5 
period1,sc01,t4859, 0.26 ,, 0.45 
period1,sc01,t4860, 0.35 ,, 0.84 
period1,sc01,t4861, 0.39 ,, 0.52 
period1,sc01,t4862, 1.12 ,, 0.44 
period1,sc01,t4863, 1.58 ,, 0.88 
period1,sc01,t4864, 2.68 ,, 0.98 
period1,sc01,t4865, 0.62 ,, 0.72 
period1,sc01,t4866, 0.47 ,, 0.82 
period1,sc01,t4867, 0.43 ,, 0.99 
period1,sc01,t4868, 0.35 ,, 0.83 
period1,sc01,t4869, 0.68 ,, 0.72 
period1,sc01,t4870, 0.73 ,, 1 
period1,sc01,t4871, 0.68 ,, 0.61 
period1,sc01,t4872, 0.19 ,, 0.5 
period1,sc01,t4873, 0.2 ,, 0.87 
period1,sc01,t4874, 0.55 ,, 0.6 
period1,sc01,t4875, 0.22 ,, 0.48 
period1,sc01,t4876, 0.18 ,, 0.94 
period1,sc01,t4877, 0.21 ,, 0.52 
period1,sc01,t4878, 0.23 ,, 1.32 
period1,sc01,t4879, 0.76 ,, 0.59 
period1,sc01,t4880, 1.27 ,, 0.52 
period1,sc01,t4881, 0.35 ,, 0.75 
period1,sc01,t4882, 0.82 ,, 0.42 
period1,sc01,t4883, 0.41 ,, 0.49 
period1,sc01,t4884, 1.59 ,, 0.78 
period1,sc01,t4885, 1 ,, 0.52 
period1,sc01,t4886, 0.99 ,, 0.6 
period1,sc01,t4887, 0.86 ,, 0.56 
period1,sc01,t4888, 0.3 ,, 0.81 
period1,sc01,t4889, 1.89 ,, 0.71 
period1,sc01,t4890, 1.87 ,, 1.48 
period1,sc01,t4891, 1.3 ,, 1.2 
period1,sc01,t4892, 0.46 ,, 0.98 
period1,sc01,t4893, 2.05 ,, 1.34 
period1,sc01,t4894, 1.2 ,, 1.01 
period1,sc01,t4895, 0.76 ,, 0.66 
period1,sc01,t4896, 0.17 ,, 0.97 
period1,sc01,t4897, 0.21 ,, 0.58 
period1,sc01,t4898, 0.19 ,, 0.6 
period1,sc01,t4899, 0.22 ,, 0.92 
period1,sc01,t4900, 0.19 ,, 0.59 
period1,sc01,t4901, 0.59 ,, 0.6 
period1,sc01,t4902, 0.19 ,, 0.9 
period1,sc01,t4903, 0.27 ,, 0.66 
period1,sc01,t4904, 0.44 ,, 1.11 
period1,sc01,t4905, 0.91 ,, 0.7 
period1,sc01,t4906, 1.88 ,, 3.42 
period1,sc01,t4907, 2.08 ,, 2.24 
period1,sc01,t4908, 0.48 ,, 0.44 
period1,sc01,t4909, 0.41 ,, 0.45 
period1,sc01,t4910, 0.25 ,, 0.41 
period1,sc01,t4911, 0.75 ,, 0.76 
period1,sc01,t4912, 0.45 ,, 1.15 
period1,sc01,t4913, 0.48 ,, 0.78 
period1,sc01,t4914, 0.48 ,, 1.14 
period1,sc01,t4915, 0.27 ,, 1.14 
period1,sc01,t4916, 0.31 ,, 1.26 
period1,sc01,t4917, 2.26 ,, 1.03 
period1,sc01,t4918, 0.34 ,, 0.91 
period1,sc01,t4919, 0.18 ,, 0.82 
period1,sc01,t4920, 0.21 ,, 0.81 
period1,sc01,t4921, 0.19 ,, 0.56 
period1,sc01,t4922, 0.2 ,, 0.58 
period1,sc01,t4923, 0.47 ,, 1.13 
period1,sc01,t4924, 0.26 ,, 0.53 
period1,sc01,t4925, 0.19 ,, 0.59 
period1,sc01,t4926, 0.21 ,, 0.58 
period1,sc01,t4927, 0.24 ,, 0.72 
period1,sc01,t4928, 0.68 ,, 0.84 
period1,sc01,t4929, 3.29 ,, 1.1 
period1,sc01,t4930, 2.17 ,, 3.16 
period1,sc01,t4931, 0.56 ,, 5.05 
period1,sc01,t4932, 0.21 ,, 3.04 
period1,sc01,t4933, 0.21 ,, 1.38 
period1,sc01,t4934, 0.21 ,, 0.51 
period1,sc01,t4935, 0.19 ,, 1.1 
period1,sc01,t4936, 0.19 ,, 1.42 
period1,sc01,t4937, 0.51 ,, 0.9 
period1,sc01,t4938, 0.35 ,, 0.5 
period1,sc01,t4939, 0.31 ,, 0.59 
period1,sc01,t4940, 1.3 ,, 1.29 
period1,sc01,t4941, 0.68 ,, 1.15 
period1,sc01,t4942, 0.32 ,, 0.7 
period1,sc01,t4943, 0.33 ,, 0.77 
period1,sc01,t4944, 0.57 ,, 0.87 
period1,sc01,t4945, 0.26 ,, 0.65 
period1,sc01,t4946, 0.24 ,, 0.63 
period1,sc01,t4947, 0.25 ,, 0.89 
period1,sc01,t4948, 0.22 ,, 0.6 
period1,sc01,t4949, 0.21 ,, 0.69 
period1,sc01,t4950, 0.52 ,, 1.4 
period1,sc01,t4951, 0.63 ,, 1.26 
period1,sc01,t4952, 1.06 ,, 0.7 
period1,sc01,t4953, 1.32 ,, 0.85 
period1,sc01,t4954, 1.54 ,, 0.6 
period1,sc01,t4955, 0.43 ,, 0.53 
period1,sc01,t4956, 1.28 ,, 0.75 
period1,sc01,t4957, 0.98 ,, 0.37 
period1,sc01,t4958, 0.37 ,, 0.39 
period1,sc01,t4959, 0.35 ,, 0.35 
period1,sc01,t4960, 0.78 ,, 0.88 
period1,sc01,t4961, 0.35 ,, 0.96 
period1,sc01,t4962, 1.37 ,, 5.36 
period1,sc01,t4963, 1.03 ,, 5.59 
period1,sc01,t4964, 0.33 ,, 2.85 
period1,sc01,t4965, 0.34 ,, 1.17 
period1,sc01,t4966, 2.56 ,, 0.63 
period1,sc01,t4967, 0.52 ,, 0.6 
period1,sc01,t4968, 0.2 ,, 0.94 
period1,sc01,t4969, 0.18 ,, 0.69 
period1,sc01,t4970, 0.2 ,, 0.7 
period1,sc01,t4971, 0.19 ,, 1.02 
period1,sc01,t4972, 0.53 ,, 0.66 
period1,sc01,t4973, 0.2 ,, 0.73 
period1,sc01,t4974, 0.2 ,, 1.18 
period1,sc01,t4975, 0.2 ,, 1.19 
period1,sc01,t4976, 0.54 ,, 0.77 
period1,sc01,t4977, 0.68 ,, 0.96 
period1,sc01,t4978, 1.98 ,, 0.64 
period1,sc01,t4979, 3.56 ,, 0.56 
period1,sc01,t4980, 1.44 ,, 0.41 
period1,sc01,t4981, 0.25 ,, 0.72 
period1,sc01,t4982, 0.32 ,, 0.37 
period1,sc01,t4983, 0.42 ,, 0.4 
period1,sc01,t4984, 0.78 ,, 0.88 
period1,sc01,t4985, 0.62 ,, 0.55 
period1,sc01,t4986, 0.44 ,, 2.1 
period1,sc01,t4987, 0.35 ,, 1.56 
period1,sc01,t4988, 0.59 ,, 1.26 
period1,sc01,t4989, 0.46 ,, 2.07 
period1,sc01,t4990, 1.92 ,, 0.71 
period1,sc01,t4991, 0.3 ,, 0.98 
period1,sc01,t4992, 0.19 ,, 0.57 
period1,sc01,t4993, 0.22 ,, 0.63 
period1,sc01,t4994, 0.17 ,, 0.56 
period1,sc01,t4995, 0.54 ,, 1.18 
period1,sc01,t4996, 0.19 ,, 0.57 
period1,sc01,t4997, 0.26 ,, 0.58 
period1,sc01,t4998, 0.2 ,, 1.06 
period1,sc01,t4999, 0.22 ,, 0.7 
period1,sc01,t5000, 0.73 ,, 0.62 
period1,sc01,t5001, 0.38 ,, 0.87 
period1,sc01,t5002, 0.43 ,, 0.59 
period1,sc01,t5003, 0.46 ,, 0.56 
period1,sc01,t5004, 1.26 ,, 0.86 
period1,sc01,t5005, 0.23 ,, 0.57 
period1,sc01,t5006, 0.36 ,, 0.56 
period1,sc01,t5007, 0.28 ,, 0.89 
period1,sc01,t5008, 0.87 ,, 1.08 
period1,sc01,t5009, 0.67 ,, 1.42 
period1,sc01,t5010, 0.33 ,, 1.21 
period1,sc01,t5011, 2.69 ,, 1.59 
period1,sc01,t5012, 0.69 ,, 1.74 
period1,sc01,t5013, 0.47 ,, 2.13 
period1,sc01,t5014, 0.63 ,, 1.06 
period1,sc01,t5015, 0.64 ,, 0.65 
period1,sc01,t5016, 0.17 ,, 0.61 
period1,sc01,t5017, 0.21 ,, 0.96 
period1,sc01,t5018, 0.18 ,, 0.62 
period1,sc01,t5019, 0.22 ,, 0.61 
period1,sc01,t5020, 0.2 ,, 0.91 
period1,sc01,t5021, 0.53 ,, 0.6 
period1,sc01,t5022, 0.19 ,, 1.41 
period1,sc01,t5023, 0.2 ,, 0.59 
period1,sc01,t5024, 0.39 ,, 0.64 
period1,sc01,t5025, 1.32 ,, 0.95 
period1,sc01,t5026, 0.52 ,, 0.6 
period1,sc01,t5027, 0.36 ,, 0.59 
period1,sc01,t5028, 0.24 ,, 0.6 
period1,sc01,t5029, 3.79 ,, 0.89 
period1,sc01,t5030, 10.81 ,, 2.09 
period1,sc01,t5031, 1.09 ,, 2.21 
period1,sc01,t5032, 1.2 ,, 1.62 
period1,sc01,t5033, 1.38 ,, 1.99 
period1,sc01,t5034, 1.12 ,, 1.49 
period1,sc01,t5035, 0.51 ,, 1.05 
period1,sc01,t5036, 0.42 ,, 1.29 
period1,sc01,t5037, 0.41 ,, 0.84 
period1,sc01,t5038, 1.18 ,, 0.59 
period1,sc01,t5039, 0.27 ,, 0.62 
period1,sc01,t5040, 0.2 ,, 0.85 
period1,sc01,t5041, 0.363 ,, 0.62 
period1,sc01,t5042, 0.363 ,, 0.55 
period1,sc01,t5043, 0.363 ,, 0.92 
period1,sc01,t5044, 0.363 ,, 0.56 
period1,sc01,t5045, 0.363 ,, 0 
period1,sc01,t5046, 0.363 ,, 1.75 
period1,sc01,t5047, 0.363 ,, 0.64 
period1,sc01,t5048, 0.363 ,, 0 
period1,sc01,t5049, 0.363 ,, 1.45 
period1,sc01,t5050, 0.363 ,, 0.52 
period1,sc01,t5051, 0.363 ,, 0.77 
period1,sc01,t5052, 0.363 ,, 0.35 
period1,sc01,t5053, 0.363 ,, 0.42 
period1,sc01,t5054, 0.363 ,, 0.65 
period1,sc01,t5055, 0.363 ,, 0.43 
period1,sc01,t5056, 0.363 ,, 0.36 
period1,sc01,t5057, 0.363 ,, 0.74 
period1,sc01,t5058, 0.363 ,, 0.72 
period1,sc01,t5059, 0.363 ,, 1.59 
period1,sc01,t5060, 0.363 ,, 1.3 
period1,sc01,t5061, 0.363 ,, 1.24 
period1,sc01,t5062, 0.363 ,, 1.06 
period1,sc01,t5063, 0.363 ,, 0.98 
period1,sc01,t5064, 0.363 ,, 0.78 
period1,sc01,t5065, 0.363 ,, 1.02 
period1,sc01,t5066, 0.363 ,, 0.76 
period1,sc01,t5067, 0.363 ,, 0.71 
period1,sc01,t5068, 0.363 ,, 1.05 
period1,sc01,t5069, 0.363 ,, 0.76 
period1,sc01,t5070, 0.363 ,, 1.09 
period1,sc01,t5071, 0.363 ,, 0.75 
period1,sc01,t5072, 0.363 ,, 0.7 
period1,sc01,t5073, 0.363 ,, 1.79 
period1,sc01,t5074, 0.363 ,, 3.15 
period1,sc01,t5075, 0.363 ,, 0.97 
period1,sc01,t5076, 0.363 ,, 1.15 
period1,sc01,t5077, 0.363 ,, 0.88 
period1,sc01,t5078, 0.363 ,, 1.72 
period1,sc01,t5079, 0.363 ,, 2.51 
