Period,Scenario,LoadLevel,Sell,Date
period1,sc01,t2870,7.549595502000001,2025-04-30 14:27:00
period1,sc01,t3970,7.537464396,2025-06-15 10:27:00
period1,sc01,t6373,7.529266364,2025-09-23 13:27:00
period1,sc01,t3154,7.528182612,2025-05-12 10:27:00
period1,sc01,t5151,7.514980435,2025-08-03 15:27:00
period1,sc01,t5267,7.510655276,2025-08-08 11:27:00
period1,sc01,t5487,7.504826999,2025-08-17 15:27:00
period1,sc01,t4333,7.49280856,2025-06-30 13:27:00
period1,sc01,t4860,7.490840058,2025-07-22 12:27:00
period1,sc01,t3733,7.487896252,2025-06-05 13:27:00
period1,sc01,t4453,7.484896708000001,2025-07-05 13:27:00
period1,sc01,t3134,7.483550083,2025-05-11 14:27:00
period1,sc01,t5291,7.475634138000001,2025-08-09 11:27:00
period1,sc01,t6300,7.474751018999999,2025-09-20 12:27:00
period1,sc01,t3639,7.474385028,2025-06-01 15:27:00
period1,sc01,t3921,7.4732996728000005,2025-06-13 09:27:00
period1,sc01,t5175,7.458927472,2025-08-04 15:27:00
period1,sc01,t4259,7.45291313,2025-06-27 11:27:00
period1,sc01,t3540,7.452337486,2025-05-28 12:27:00
period1,sc01,t5319,7.451609693999999,2025-08-10 15:27:00
period1,sc01,t5343,7.451556730999999,2025-08-11 15:27:00
period1,sc01,t6757,7.443868375000001,2025-10-09 13:27:00
period1,sc01,t5055,7.436092287,2025-07-30 15:27:00
period1,sc01,t5099,7.406803244000001,2025-08-01 11:27:00
period1,sc01,t3663,7.404677389,2025-06-02 15:27:00
period1,sc01,t5314,7.4003361729999995,2025-08-10 10:27:00
period1,sc01,t6228,7.3991924870000005,2025-09-17 12:27:00
period1,sc01,t6274,7.39650538,2025-09-19 10:27:00
period1,sc01,t5966,7.392497956000001,2025-09-06 14:27:00
period1,sc01,t5218,7.386250210999999,2025-08-06 10:27:00
period1,sc01,t1910,7.381437124,2025-03-21 14:27:00
period1,sc01,t4787,7.378846749,2025-07-19 11:27:00
period1,sc01,t4956,7.3785784340000005,2025-07-26 12:27:00
period1,sc01,t3706,7.3733816139999995,2025-06-04 10:27:00
period1,sc01,t5268,7.37239067,2025-08-08 12:27:00
period1,sc01,t3229,7.367181801,2025-05-15 13:27:00
period1,sc01,t4548,7.358849033,2025-07-09 12:27:00
period1,sc01,t3707,7.357242867,2025-06-04 11:27:00
period1,sc01,t4331,7.347984060000001,2025-06-30 11:27:00
period1,sc01,t1837,7.344614966,2025-03-18 13:27:00
period1,sc01,t5170,7.341207229999999,2025-08-04 10:27:00
period1,sc01,t5146,7.33118574,2025-08-03 10:27:00
period1,sc01,t4330,7.328983737000001,2025-06-30 10:27:00
period1,sc01,t3490,7.319446951000001,2025-05-26 10:27:00
period1,sc01,t5533,7.312449534000001,2025-08-19 13:27:00
period1,sc01,t2125,7.310375947,2025-03-30 13:27:00
period1,sc01,t4093,7.305773085,2025-06-20 13:27:00
period1,sc01,t6204,7.305588293,2025-09-16 12:27:00
period1,sc01,t2077,7.305380811999999,2025-03-28 13:27:00
period1,sc01,t5271,7.3047156200000005,2025-08-08 15:27:00
period1,sc01,t5364,7.3021581499999995,2025-08-12 12:27:00
period1,sc01,t5316,7.29727441,2025-08-10 12:27:00
period1,sc01,t5338,7.295357664,2025-08-11 10:27:00
period1,sc01,t6734,7.291117426,2025-10-08 14:27:00
period1,sc01,t6371,7.272003603,2025-09-23 11:27:00
period1,sc01,t1979,7.262158898,2025-03-24 11:27:00
period1,sc01,t1908,7.261327734000001,2025-03-21 12:27:00
period1,sc01,t5362,7.260379154,2025-08-12 10:27:00
period1,sc01,t5050,7.257999777999999,2025-07-30 10:27:00
period1,sc01,t4306,7.237730438,2025-06-29 10:27:00
