Period,Scenario,LoadLevel,Date,MWh,KWh,Type
period1,sc01,t0114,2025-01-05 18:27:00,-2.807,-2.807,NetDemand
period1,sc01,t0115,2025-01-05 19:27:00,-3.843,-3.843,NetDemand
period1,sc01,t0116,2025-01-05 20:27:00,-10.537,-10.537,NetDemand
period1,sc01,t0117,2025-01-05 21:27:00,-6.657,-6.657,NetDemand
period1,sc01,t0118,2025-01-05 22:27:00,-12.852999999999998,-12.852999999999998,NetDemand
period1,sc01,t0119,2025-01-05 23:27:00,-5.338000000000001,-5.338000000000001,NetDemand
period1,sc01,t0120,2025-01-06 00:27:00,-7.462,-7.462,NetDemand
period1,sc01,t0121,2025-01-06 01:27:00,-4.642000000000001,-4.642000000000001,NetDemand
period1,sc01,t0122,2025-01-06 02:27:00,-7.618,-7.618,NetDemand
period1,sc01,t0123,2025-01-06 03:27:00,-8.372,-8.372,NetDemand
period1,sc01,t0124,2025-01-06 04:27:00,-5.7379999999999995,-5.7379999999999995,NetDemand
period1,sc01,t0125,2025-01-06 05:27:00,-10.385,-10.385,NetDemand
period1,sc01,t0126,2025-01-06 06:27:00,-5.425000000000001,-5.425000000000001,NetDemand
period1,sc01,t0127,2025-01-06 07:27:00,-10.829,-10.829,NetDemand
period1,sc01,t0128,2025-01-06 08:27:00,-6.051000000000002,-6.051000000000002,NetDemand
period1,sc01,t0129,2025-01-06 09:27:00,-10.95943438,-10.95943438,NetDemand
period1,sc01,t0130,2025-01-06 10:27:00,-5.013624934,-5.013624934,NetDemand
period1,sc01,t0131,2025-01-06 11:27:00,-11.179905039,-11.179905039,NetDemand
period1,sc01,t0132,2025-01-06 12:27:00,0.0,0.0,NetDemand
period1,sc01,t0133,2025-01-06 13:27:00,0.0,0.0,NetDemand
period1,sc01,t0134,2025-01-06 14:27:00,-2.6574604290000003,-2.6574604290000003,NetDemand
period1,sc01,t0135,2025-01-06 15:27:00,-10.556287413000002,-10.556287413000002,NetDemand
period1,sc01,t0136,2025-01-06 16:27:00,-9.740970968,-9.740970968,NetDemand
period1,sc01,t0137,2025-01-06 17:27:00,-13.116999999999999,-13.116999999999999,NetDemand
period1,sc01,t0138,2025-01-06 18:27:00,-8.833,-8.833,NetDemand
period1,sc01,t0139,2025-01-06 19:27:00,-6.979000000000001,-6.979000000000001,NetDemand
period1,sc01,t0140,2025-01-06 20:27:00,-13.151000000000002,-13.151000000000002,NetDemand
period1,sc01,t0141,2025-01-06 21:27:00,-6.510000000000001,-6.510000000000001,NetDemand
period1,sc01,t0142,2025-01-06 22:27:00,-12.239999999999998,-12.239999999999998,NetDemand
period1,sc01,t0143,2025-01-06 23:27:00,-5.418,-5.418,NetDemand
period1,sc01,t0144,2025-01-07 00:27:00,-11.072000000000003,-11.072000000000003,NetDemand
period1,sc01,t0145,2025-01-07 01:27:00,-6.673999999999998,-6.673999999999998,NetDemand
period1,sc01,t0146,2025-01-07 02:27:00,-10.556,-10.556,NetDemand
period1,sc01,t0147,2025-01-07 03:27:00,-10.491,-10.491,NetDemand
period1,sc01,t0148,2025-01-07 04:27:00,-6.629000000000001,-6.629000000000001,NetDemand
period1,sc01,t0149,2025-01-07 05:27:00,-10.941,-10.941,NetDemand
period1,sc01,t0150,2025-01-07 06:27:00,-4.949,-4.949,NetDemand
period1,sc01,t0151,2025-01-07 07:27:00,-11.075999999999999,-11.075999999999999,NetDemand
period1,sc01,t0152,2025-01-07 08:27:00,-10.884000000000002,-10.884000000000002,NetDemand
period1,sc01,t0153,2025-01-07 09:27:00,-9.242,-9.242,NetDemand
period1,sc01,t0154,2025-01-07 10:27:00,-11.152267150999998,-11.152267150999998,NetDemand
period1,sc01,t0155,2025-01-07 11:27:00,-3.7399763960000003,-3.7399763960000003,NetDemand
period1,sc01,t0156,2025-01-07 12:27:00,-5.592990438,-5.592990438,NetDemand
period1,sc01,t0157,2025-01-07 13:27:00,-6.270244324999998,-6.270244324999998,NetDemand
period1,sc01,t0158,2025-01-07 14:27:00,-2.9927727390000003,-2.9927727390000003,NetDemand
period1,sc01,t0159,2025-01-07 15:27:00,-3.869358023,-3.869358023,NetDemand
period1,sc01,t0160,2025-01-07 16:27:00,-3.721643954999999,-3.721643954999999,NetDemand
period1,sc01,t0161,2025-01-07 17:27:00,-3.29,-3.29,NetDemand
period1,sc01,t0162,2025-01-07 18:27:00,-6.490000000000001,-6.490000000000001,NetDemand
period1,sc01,t0163,2025-01-07 19:27:00,-4.074000000000002,-4.074000000000002,NetDemand
period1,sc01,t0164,2025-01-07 20:27:00,-7.045999999999999,-7.045999999999999,NetDemand
period1,sc01,t0165,2025-01-07 21:27:00,-2.9539999999999997,-2.9539999999999997,NetDemand
period1,sc01,t0166,2025-01-07 22:27:00,-5.806,-5.806,NetDemand
period1,sc01,t0167,2025-01-07 23:27:00,-4.158,-4.158,NetDemand
period1,sc01,t0168,2025-01-08 00:27:00,-9.102,-9.102,NetDemand
period1,sc01,t0169,2025-01-08 01:27:00,-9.048,-9.048,NetDemand
period1,sc01,t0170,2025-01-08 02:27:00,-5.382,-5.382,NetDemand
period1,sc01,t0171,2025-01-08 03:27:00,-6.786,-6.786,NetDemand
period1,sc01,t0172,2025-01-08 04:27:00,-4.554,-4.554,NetDemand
period1,sc01,t0173,2025-01-08 05:27:00,-5.263999999999999,-5.263999999999999,NetDemand
period1,sc01,t0174,2025-01-08 06:27:00,-2.156,-2.156,NetDemand
period1,sc01,t0175,2025-01-08 07:27:00,-6.837999999999999,-6.837999999999999,NetDemand
period1,sc01,t0176,2025-01-08 08:27:00,-3.732000000000001,-3.732000000000001,NetDemand
period1,sc01,t0177,2025-01-08 09:27:00,-5.291,-5.291,NetDemand
period1,sc01,t0178,2025-01-08 10:27:00,-2.928409256,-2.928409256,NetDemand
