Period,Scenario,LoadLevel,TotalOutput,Date
period1,sc01,t4980,8.125006179,2025-07-27 12:27:00
period1,sc01,t6757,8.123868375,2025-10-09 13:27:00
period1,sc01,t6154,8.113629376,2025-09-14 10:27:00
period1,sc01,t4858,8.106969268,2025-07-22 10:27:00
period1,sc01,t4043,8.10659796,2025-06-18 11:27:00
period1,sc01,t2026,8.103842872,2025-03-26 10:27:00
period1,sc01,t2125,8.094375947,2025-03-30 13:27:00
period1,sc01,t4527,8.087555384,2025-07-08 15:27:00
period1,sc01,t1836,8.080904592,2025-03-18 12:27:00
period1,sc01,t3015,8.069711727,2025-05-06 15:27:00
period1,sc01,t4954,8.058449521,2025-07-26 10:27:00
period1,sc01,t4139,8.057981109,2025-06-22 11:27:00
period1,sc01,t4069,8.05507985,2025-06-19 13:27:00
period1,sc01,t4978,8.036747724,2025-07-27 10:27:00
period1,sc01,t1382,8.01926529,2025-02-27 14:27:00
period1,sc01,t3830,8.013378278,2025-06-09 14:27:00
period1,sc01,t3540,8.011337486,2025-05-28 12:27:00
period1,sc01,t2122,8.010879545,2025-03-30 10:27:00
period1,sc01,t6948,8.003328099,2025-10-17 12:27:00
period1,sc01,t3541,7.998783148,2025-05-28 13:27:00
period1,sc01,t6134,7.995725285,2025-09-13 14:27:00
period1,sc01,t6300,7.994751019,2025-09-20 12:27:00
period1,sc01,t5389,7.992140083,2025-08-13 13:27:00
period1,sc01,t3134,7.990550083,2025-05-11 14:27:00
period1,sc01,t6228,7.988192487,2025-09-17 12:27:00
period1,sc01,t4236,7.982068869,2025-06-26 12:27:00
period1,sc01,t3783,7.978105742,2025-06-07 15:27:00
period1,sc01,t2077,7.974380812,2025-03-28 13:27:00
period1,sc01,t5940,7.962684911,2025-09-05 12:27:00
period1,sc01,t3807,7.949758403,2025-06-08 15:27:00
period1,sc01,t1812,7.940858334,2025-03-17 12:27:00
period1,sc01,t3945,7.937424926,2025-06-14 09:27:00
period1,sc01,t3469,7.936951077,2025-05-25 13:27:00
period1,sc01,t3490,7.935446951,2025-05-26 10:27:00
period1,sc01,t3993,7.92968532,2025-06-16 09:27:00
period1,sc01,t3897,7.9153769604,2025-06-12 09:27:00
period1,sc01,t1813,7.913487106,2025-03-17 13:27:00
period1,sc01,t4814,7.903151743,2025-07-20 14:27:00
period1,sc01,t3009,7.879787709,2025-05-06 09:27:00
period1,sc01,t4450,7.870461734,2025-07-05 10:27:00
period1,sc01,t1885,7.85852818,2025-03-20 13:27:00
period1,sc01,t1379,7.850762381,2025-02-27 11:27:00
period1,sc01,t2487,7.849631927,2025-04-14 15:27:00
period1,sc01,t3801,7.844712218,2025-06-08 09:27:00
period1,sc01,t2701,7.84028934,2025-04-23 13:27:00
period1,sc01,t2870,7.835595502,2025-04-30 14:27:00
period1,sc01,t3321,7.833519157,2025-05-19 09:27:00
