Home,Scenario,H,HType,Cluster,Month,BESS_kWh,V2G_hours,total_hours
1,T0,2,Apt,ClusterC,2,116.79961741808336,0,672
1,T0,2,Apt,ClusterC,3,127.415990815165,0,744
1,T0,2,Apt,ClusterC,4,98.97500749088621,0,720
1,T0,2,Apt,ClusterC,5,171.33205074515035,0,744
1,T0,2,Apt,ClusterC,6,77.08382931591863,0,720
1,T0,2,Apt,ClusterC,7,67.87412427919625,0,744
1,T0,2,Apt,ClusterC,8,123.08597472096136,0,744
1,T0,2,Apt,ClusterC,9,116.778736863922,0,720
1,T0,2,Apt,ClusterD,1,78.047238444285,180,744
1,T0,2,Apt,ClusterD,10,91.39873160004018,85,744
1,T0,2,Apt,ClusterD,11,58.77078979417468,161,720
1,T0,2,Apt,ClusterD,12,52.34539964295119,154,720
1,T0,2,Apt,ClusterD,2,89.505626880461,124,672
1,T0,2,Apt,ClusterD,3,108.88247759072388,154,744
1,T0,2,Apt,ClusterD,4,91.64098561414622,115,720
1,T0,2,Apt,ClusterD,5,128.3494760327451,64,744
1,T0,2,Apt,ClusterD,6,74.25671606074052,99,720
1,T0,2,Apt,ClusterD,7,58.05445027054622,99,744
1,T0,2,Apt,ClusterD,8,116.99915942624892,67,744
1,T0,2,Apt,ClusterD,9,103.2311109099583,63,720
1,T0,2,Apt,ClusterE,1,0.0,0,744
1,T0,2,Apt,ClusterE,10,0.0,0,744
1,T0,2,Apt,ClusterE,11,0.0,0,720
1,T0,2,Apt,ClusterE,12,0.0,0,720
1,T0,2,Apt,ClusterE,2,0.0,0,672
1,T0,2,Apt,ClusterE,3,0.0,0,744
1,T0,2,Apt,ClusterE,4,0.0,0,720
1,T0,2,Apt,ClusterE,5,0.0,0,744
1,T0,2,Apt,ClusterE,6,0.0,0,720
1,T0,2,Apt,ClusterE,7,0.0,0,744
1,T0,2,Apt,ClusterE,8,0.0,0,744
1,T0,2,Apt,ClusterE,9,0.0,0,720
1,T0,3,Apt,ClusterA,1,0.0,0,744
1,T0,3,Apt,ClusterA,10,0.0,0,744
1,T0,3,Apt,ClusterA,11,0.0,0,720
1,T0,3,Apt,ClusterA,12,0.0,0,720
1,T0,3,Apt,ClusterA,2,0.0,0,672
1,T0,3,Apt,ClusterA,3,0.0,0,744
1,T0,3,Apt,ClusterA,4,0.0,0,720
1,T0,3,Apt,ClusterA,5,0.0,0,744
1,T0,3,Apt,ClusterA,6,0.0,0,720
1,T0,3,Apt,ClusterA,7,0.0,0,744
1,T0,3,Apt,ClusterA,8,0.0,0,744
1,T0,3,Apt,ClusterA,9,0.0,0,720
1,T0,3,Apt,ClusterB,1,95.9851660108135,0,744
1,T0,3,Apt,ClusterB,10,121.91148789259313,0,744
1,T0,3,Apt,ClusterB,11,76.87151493934888,0,720
1,T0,3,Apt,ClusterB,12,76.57136010000352,0,720
1,T0,3,Apt,ClusterB,2,108.29933364478138,0,672
1,T0,3,Apt,ClusterB,3,120.02813107852975,0,744
1,T0,3,Apt,ClusterB,4,112.04658363660658,0,720
1,T0,3,Apt,ClusterB,5,186.37947578055343,0,744
1,T0,3,Apt,ClusterB,6,86.38323320693212,0,720
1,T0,3,Apt,ClusterB,7,90.29052467658079,0,744
1,T0,3,Apt,ClusterB,8,112.55101644979902,0,744
1,T0,3,Apt,ClusterB,9,119.6205752382645,0,720
1,T0,3,Apt,ClusterC,1,95.79035729113386,0,744
1,T0,3,Apt,ClusterC,10,98.55084188563785,0,744
1,T0,3,Apt,ClusterC,11,75.80351537777236,0,720
1,T0,3,Apt,ClusterC,12,71.07832536337217,0,720
1,T0,3,Apt,ClusterC,2,109.2575408264506,0,672
1,T0,3,Apt,ClusterC,3,116.67111615670026,0,744
1,T0,3,Apt,ClusterC,4,111.93971987805217,0,720
1,T0,3,Apt,ClusterC,5,168.20382402876197,0,744
1,T0,3,Apt,ClusterC,6,80.51635672686167,0,720
1,T0,3,Apt,ClusterC,7,66.85419475391141,0,744
1,T0,3,Apt,ClusterC,8,116.3468805603201,0,744
1,T0,3,Apt,ClusterC,9,122.24394723946168,0,720
1,T0,3,Apt,ClusterD,1,78.653227919925,159,744
1,T0,3,Apt,ClusterD,10,82.01361402716512,69,744
1,T0,3,Apt,ClusterD,11,57.29491112204026,144,720
1,T0,3,Apt,ClusterD,12,55.130024935185666,99,720
1,T0,3,Apt,ClusterD,2,82.81044390072526,124,672
1,T0,3,Apt,ClusterD,3,106.3535176591914,126,744
1,T0,3,Apt,ClusterD,4,94.48210402352478,127,720
1,T0,3,Apt,ClusterD,5,152.56252148258636,131,744
1,T0,3,Apt,ClusterD,6,73.23600979815038,79,720
1,T0,3,Apt,ClusterD,7,55.93339738357352,71,744
1,T0,3,Apt,ClusterD,8,111.39184892679185,49,744
1,T0,3,Apt,ClusterD,9,108.7096098124815,39,720
1,T0,3,Apt,ClusterE,1,0.0,0,744
1,T0,3,Apt,ClusterE,10,0.0,0,744
1,T0,3,Apt,ClusterE,11,0.0,0,720
1,T0,3,Apt,ClusterE,12,0.0,0,720
1,T0,3,Apt,ClusterE,2,0.0,0,672
1,T0,3,Apt,ClusterE,3,0.0,0,744
1,T0,3,Apt,ClusterE,4,0.0,0,720
1,T0,3,Apt,ClusterE,5,0.0,0,744
1,T0,3,Apt,ClusterE,6,0.0,0,720
1,T0,3,Apt,ClusterE,7,0.0,0,744
1,T0,3,Apt,ClusterE,8,0.0,0,744
1,T0,3,Apt,ClusterE,9,0.0,0,720
1,T0,4,Apt,ClusterA,1,0.0,0,744
1,T0,4,Apt,ClusterA,10,0.0,0,744
1,T0,4,Apt,ClusterA,11,0.0,0,720
1,T0,4,Apt,ClusterA,12,0.0,0,720
1,T0,4,Apt,ClusterA,2,0.0,0,672
1,T0,4,Apt,ClusterA,3,0.0,0,744
1,T0,4,Apt,ClusterA,4,0.0,0,720
1,T0,4,Apt,ClusterA,5,0.0,0,744
1,T0,4,Apt,ClusterA,6,0.0,0,720
1,T0,4,Apt,ClusterA,7,0.0,0,744
1,T0,4,Apt,ClusterA,8,0.0,0,744
1,T0,4,Apt,ClusterA,9,0.0,0,720
1,T0,4,Apt,ClusterB,1,95.9726806339834,0,744
1,T0,4,Apt,ClusterB,10,116.77893027450293,0,744
1,T0,4,Apt,ClusterB,11,84.4543813872412,0,720
1,T0,4,Apt,ClusterB,12,85.76363431691246,0,720
1,T0,4,Apt,ClusterB,2,111.70395323097402,0,672
1,T0,4,Apt,ClusterB,3,132.8053043734896,0,744
1,T0,4,Apt,ClusterB,4,101.53366387545995,0,720
1,T0,4,Apt,ClusterB,5,168.9021047546575,0,744
1,T0,4,Apt,ClusterB,6,85.8065228205265,0,720
1,T0,4,Apt,ClusterB,7,91.17683325309122,0,744
1,T0,4,Apt,ClusterB,8,109.97144239605876,0,744
1,T0,4,Apt,ClusterB,9,125.55329815252253,0,720
1,T0,4,Apt,ClusterC,1,96.70491032005839,0,744
1,T0,4,Apt,ClusterC,10,90.99492895413894,0,744
1,T0,4,Apt,ClusterC,11,81.42780391052744,0,720
1,T0,4,Apt,ClusterC,12,77.03859684532347,0,720
1,T0,4,Apt,ClusterC,2,114.99081187515992,0,672
1,T0,4,Apt,ClusterC,3,127.27963467806998,0,744
1,T0,4,Apt,ClusterC,4,99.8892718524285,0,720
1,T0,4,Apt,ClusterC,5,158.38269272888294,0,744
1,T0,4,Apt,ClusterC,6,82.53963491700699,0,720
1,T0,4,Apt,ClusterC,7,69.1830845881888,0,744
1,T0,4,Apt,ClusterC,8,110.62080546234449,0,744
1,T0,4,Apt,ClusterC,9,116.18959340048329,0,720
1,T0,4,Apt,ClusterD,1,75.11584221552872,179,744
1,T0,4,Apt,ClusterD,10,83.01168694340333,63,744
1,T0,4,Apt,ClusterD,11,59.08559884370096,114,720
1,T0,4,Apt,ClusterD,12,59.247639520426446,107,720
1,T0,4,Apt,ClusterD,2,86.06673609954383,110,672
1,T0,4,Apt,ClusterD,3,105.25461239951292,113,744
1,T0,4,Apt,ClusterD,4,90.80975262241438,154,720
1,T0,4,Apt,ClusterD,5,126.41771640734156,103,744
1,T0,4,Apt,ClusterD,6,62.977200056850876,109,720
1,T0,4,Apt,ClusterD,7,59.810912217033575,59,744
1,T0,4,Apt,ClusterD,8,99.55476135995083,97,744
1,T0,4,Apt,ClusterD,9,102.0637264451621,70,720
1,T0,4,Apt,ClusterE,1,0.0,0,744
1,T0,4,Apt,ClusterE,10,0.0,0,744
1,T0,4,Apt,ClusterE,11,0.0,0,720
1,T0,4,Apt,ClusterE,12,0.0,0,720
1,T0,4,Apt,ClusterE,2,0.0,0,672
1,T0,4,Apt,ClusterE,3,0.0,0,744
1,T0,4,Apt,ClusterE,4,0.0,0,720
1,T0,4,Apt,ClusterE,5,0.0,0,744
1,T0,4,Apt,ClusterE,6,0.0,0,720
1,T0,4,Apt,ClusterE,7,0.0,0,744
1,T0,4,Apt,ClusterE,8,0.0,0,744
1,T0,4,Apt,ClusterE,9,0.0,0,720
1,T0,5,Apt,ClusterA,1,0.0,0,744
1,T0,5,Apt,ClusterA,10,0.0,0,744
1,T0,5,Apt,ClusterA,11,0.0,0,720
1,T0,5,Apt,ClusterA,12,0.0,0,720
1,T0,5,Apt,ClusterA,2,0.0,0,672
1,T0,5,Apt,ClusterA,3,0.0,0,744
1,T0,5,Apt,ClusterA,4,0.0,0,720
1,T0,5,Apt,ClusterA,5,0.0,0,744
1,T0,5,Apt,ClusterA,6,0.0,0,720
1,T0,5,Apt,ClusterA,7,0.0,0,744
1,T0,5,Apt,ClusterA,8,0.0,0,744
1,T0,5,Apt,ClusterA,9,0.0,0,720
1,T0,5,Apt,ClusterB,1,97.69144539725603,0,744
1,T0,5,Apt,ClusterB,10,119.27882549633809,0,744
1,T0,5,Apt,ClusterB,11,78.79676501464391,0,720
1,T0,5,Apt,ClusterB,12,81.5806226547641,0,720
1,T0,5,Apt,ClusterB,2,114.95607402250636,0,672
1,T0,5,Apt,ClusterB,3,120.41257855334584,0,744
1,T0,5,Apt,ClusterB,4,97.35634730262849,0,720
1,T0,5,Apt,ClusterB,5,193.56152495243492,0,744
1,T0,5,Apt,ClusterB,6,85.43623440313688,0,720
1,T0,5,Apt,ClusterB,7,95.01425820595213,0,744
1,T0,5,Apt,ClusterB,8,113.59511055162045,0,744
1,T0,5,Apt,ClusterB,9,123.88660801367763,0,720
1,T0,5,Apt,ClusterC,1,96.17924984333195,0,744
1,T0,5,Apt,ClusterC,10,89.74933228432278,0,744
1,T0,5,Apt,ClusterC,11,79.74421947488476,0,720
1,T0,5,Apt,ClusterC,12,81.83010286348764,0,720
1,T0,5,Apt,ClusterC,2,114.5869835672058,0,672
1,T0,5,Apt,ClusterC,3,118.54120453317094,0,744
1,T0,5,Apt,ClusterC,4,97.02871589690696,0,720
1,T0,5,Apt,ClusterC,5,174.50704578898234,0,744
1,T0,5,Apt,ClusterC,6,81.32209000318184,0,720
1,T0,5,Apt,ClusterC,7,68.12304705221369,0,744
1,T0,5,Apt,ClusterC,8,110.43795721159034,0,744
1,T0,5,Apt,ClusterC,9,115.22241889608924,0,720
1,T0,5,Apt,ClusterD,1,83.15903204053748,140,744
1,T0,5,Apt,ClusterD,10,67.61863452580471,81,744
1,T0,5,Apt,ClusterD,11,59.08400110613628,112,720
1,T0,5,Apt,ClusterD,12,52.834728626971156,110,720
1,T0,5,Apt,ClusterD,2,97.43250814815873,115,672
1,T0,5,Apt,ClusterD,3,107.66876174440205,138,744
1,T0,5,Apt,ClusterD,4,87.88102956062866,145,720
1,T0,5,Apt,ClusterD,5,154.3961398227832,93,744
1,T0,5,Apt,ClusterD,6,67.91933611400447,133,720
1,T0,5,Apt,ClusterD,7,55.01444731519721,106,744
1,T0,5,Apt,ClusterD,8,102.58553676482812,74,744
1,T0,5,Apt,ClusterD,9,99.9670048959303,71,720
1,T0,5,Apt,ClusterE,1,0.0,0,744
1,T0,5,Apt,ClusterE,10,0.0,0,744
1,T0,5,Apt,ClusterE,11,0.0,0,720
1,T0,5,Apt,ClusterE,12,0.0,0,720
1,T0,5,Apt,ClusterE,2,0.0,0,672
1,T0,5,Apt,ClusterE,3,0.0,0,744
1,T0,5,Apt,ClusterE,4,0.0,0,720
1,T0,5,Apt,ClusterE,5,0.0,0,744
1,T0,5,Apt,ClusterE,6,0.0,0,720
1,T0,5,Apt,ClusterE,7,0.0,0,744
1,T0,5,Apt,ClusterE,8,0.0,0,744
1,T0,5,Apt,ClusterE,9,0.0,0,720
1,T0,6,SF,ClusterA,1,0.0,0,744
1,T0,6,SF,ClusterA,10,0.0,0,744
1,T0,6,SF,ClusterA,11,0.0,0,720
1,T0,6,SF,ClusterA,12,0.0,0,720
1,T0,6,SF,ClusterA,2,0.0,0,672
1,T0,6,SF,ClusterA,3,0.0,0,744
1,T0,6,SF,ClusterA,4,0.0,0,720
1,T0,6,SF,ClusterA,5,0.0,0,744
1,T0,6,SF,ClusterA,6,0.0,0,720
1,T0,6,SF,ClusterA,7,0.0,0,744
1,T0,6,SF,ClusterA,8,0.0,0,744
1,T0,6,SF,ClusterA,9,0.0,0,720
1,T0,6,SF,ClusterB,1,149.44960490245828,0,744
1,T0,6,SF,ClusterB,10,193.01934729545712,0,744
1,T0,6,SF,ClusterB,11,127.72485455793314,0,720
1,T0,6,SF,ClusterB,12,117.38550545399963,0,720
1,T0,6,SF,ClusterB,2,171.43942831581023,0,672
1,T0,6,SF,ClusterB,3,177.83345209675335,0,744
1,T0,6,SF,ClusterB,4,183.72449377749726,0,720
1,T0,6,SF,ClusterB,5,235.01556185322585,0,744
1,T0,6,SF,ClusterB,6,146.13837557601803,0,720
1,T0,6,SF,ClusterB,7,170.78274717966653,0,744
1,T0,6,SF,ClusterB,8,169.55168313993858,0,744
1,T0,6,SF,ClusterB,9,170.32044146563425,0,720
1,T0,6,SF,ClusterC,1,149.74980418867398,0,744
1,T0,6,SF,ClusterC,10,172.53500922659066,0,744
1,T0,6,SF,ClusterC,11,130.50680763788597,0,720
1,T0,6,SF,ClusterC,12,115.36747555143134,0,720
1,T0,6,SF,ClusterC,2,167.74296086889666,0,672
1,T0,6,SF,ClusterC,3,174.0660739322684,0,744
1,T0,6,SF,ClusterC,4,180.74076063696833,0,720
1,T0,6,SF,ClusterC,5,206.81845221596467,0,744
1,T0,6,SF,ClusterC,6,145.8671526241458,0,720
1,T0,6,SF,ClusterC,7,145.79888389838385,0,744
1,T0,6,SF,ClusterC,8,160.83984150143567,0,744
1,T0,6,SF,ClusterC,9,166.30423386671964,0,720
1,T0,6,SF,ClusterD,1,108.5363105614141,183,744
1,T0,6,SF,ClusterD,10,118.34544552136614,102,744
1,T0,6,SF,ClusterD,11,98.71364992729141,158,720
1,T0,6,SF,ClusterD,12,74.89594206312462,172,720
1,T0,6,SF,ClusterD,2,108.353546006023,154,672
1,T0,6,SF,ClusterD,3,128.00535482908285,136,744
1,T0,6,SF,ClusterD,4,114.68090513339436,190,720
1,T0,6,SF,ClusterD,5,168.64204519521286,112,744
1,T0,6,SF,ClusterD,6,89.3167546028395,187,720
1,T0,6,SF,ClusterD,7,116.4495790618357,142,744
1,T0,6,SF,ClusterD,8,129.77592247523143,108,744
1,T0,6,SF,ClusterD,9,139.32108447718298,94,720
1,T0,6,SF,ClusterE,1,0.0,0,744
1,T0,6,SF,ClusterE,10,0.0,0,744
1,T0,6,SF,ClusterE,11,0.0,0,720
1,T0,6,SF,ClusterE,12,0.0,0,720
1,T0,6,SF,ClusterE,2,0.0,0,672
1,T0,6,SF,ClusterE,3,0.0,0,744
1,T0,6,SF,ClusterE,4,0.0,0,720
1,T0,6,SF,ClusterE,5,0.0,0,744
1,T0,6,SF,ClusterE,6,0.0,0,720
1,T0,6,SF,ClusterE,7,0.0,0,744
1,T0,6,SF,ClusterE,8,0.0,0,744
1,T0,6,SF,ClusterE,9,0.0,0,720
1,T0,7,SF,ClusterA,1,0.0,0,744
1,T0,7,SF,ClusterA,10,0.0,0,744
1,T0,7,SF,ClusterA,11,0.0,0,720
1,T0,7,SF,ClusterA,12,0.0,0,720
1,T0,7,SF,ClusterA,2,0.0,0,672
1,T0,7,SF,ClusterA,3,0.0,0,744
1,T0,7,SF,ClusterA,4,0.0,0,720
1,T0,7,SF,ClusterA,5,0.0,0,744
1,T0,7,SF,ClusterA,6,0.0,0,720
1,T0,7,SF,ClusterA,7,0.0,0,744
1,T0,7,SF,ClusterA,8,0.0,0,744
1,T0,7,SF,ClusterA,9,0.0,0,720
1,T0,7,SF,ClusterB,1,157.2151632916191,0,744
1,T0,7,SF,ClusterB,10,169.7240271957741,0,744
1,T0,7,SF,ClusterB,11,143.79179570427445,0,720
1,T0,7,SF,ClusterB,12,122.79147627084156,0,720
1,T0,7,SF,ClusterB,2,161.30298249193388,0,672
1,T0,7,SF,ClusterB,3,191.8221867115206,0,744
1,T0,7,SF,ClusterB,4,189.3243218470696,0,720
1,T0,7,SF,ClusterB,5,219.55445073596488,0,744
1,T0,7,SF,ClusterB,6,143.1790562813116,0,720
1,T0,7,SF,ClusterB,7,166.14376278684085,0,744
1,T0,7,SF,ClusterB,8,182.44331647204092,0,744
1,T0,7,SF,ClusterB,9,161.8261573186996,0,720
1,T0,7,SF,ClusterC,1,153.6561325424998,0,744
1,T0,7,SF,ClusterC,10,151.27410994356677,0,744
1,T0,7,SF,ClusterC,11,145.6897356385913,0,720
1,T0,7,SF,ClusterC,12,124.0581508730192,0,720
1,T0,7,SF,ClusterC,2,160.75771783033838,0,672
1,T0,7,SF,ClusterC,3,174.51868407331293,0,744
1,T0,7,SF,ClusterC,4,186.24403672412137,0,720
1,T0,7,SF,ClusterC,5,201.4541721220844,0,744
1,T0,7,SF,ClusterC,6,132.07914517896987,0,720
1,T0,7,SF,ClusterC,7,138.59072486527555,0,744
1,T0,7,SF,ClusterC,8,177.59115481562839,0,744
1,T0,7,SF,ClusterC,9,148.53675120038463,0,720
1,T0,7,SF,ClusterD,1,112.5898621757951,169,744
1,T0,7,SF,ClusterD,10,111.88963013469625,133,744
1,T0,7,SF,ClusterD,11,98.88395975486563,121,720
1,T0,7,SF,ClusterD,12,78.91493383640994,155,720
1,T0,7,SF,ClusterD,2,117.39870942281894,145,672
1,T0,7,SF,ClusterD,3,123.65787166687458,164,744
1,T0,7,SF,ClusterD,4,125.79578053124926,179,720
1,T0,7,SF,ClusterD,5,164.31338984734356,142,744
1,T0,7,SF,ClusterD,6,106.744721117756,100,720
1,T0,7,SF,ClusterD,7,104.15194514610161,143,744
1,T0,7,SF,ClusterD,8,137.2997952239872,98,744
1,T0,7,SF,ClusterD,9,139.3405185232214,102,720
1,T0,7,SF,ClusterE,1,0.0,0,744
1,T0,7,SF,ClusterE,10,0.0,0,744
1,T0,7,SF,ClusterE,11,0.0,0,720
1,T0,7,SF,ClusterE,12,0.0,0,720
1,T0,7,SF,ClusterE,2,0.0,0,672
1,T0,7,SF,ClusterE,3,0.0,0,744
1,T0,7,SF,ClusterE,4,0.0,0,720
1,T0,7,SF,ClusterE,5,0.0,0,744
1,T0,7,SF,ClusterE,6,0.0,0,720
1,T0,7,SF,ClusterE,7,0.0,0,744
