,,,EleR_01,HydR_01
period1,sc01,t0306, 1.112412 ,
period1,sc01,t0307, 1.104376 ,
period1,sc01,t0308, 1.0454836 ,
period1,sc01,t0309, 0.9751112 ,
period1,sc01,t0310, 0.8826972 ,
period1,sc01,t0311, 0.8783348 ,
period1,sc01,t0312, 0.784083999999999 ,
period1,sc01,t0313, 0.5706708 ,
period1,sc01,t0314, 0.5078752 ,
period1,sc01,t0315, 0.5213068 ,
period1,sc01,t0316, 0.48503 ,
period1,sc01,t0317, 0.478716 ,
period1,sc01,t0318, 0.4784864 ,
period1,sc01,t0319, 0.517748 ,
period1,sc01,t0320, 0.613032 ,
period1,sc01,t0321, 0.6156724 ,
period1,sc01,t0322, 0.6530972 ,
period1,sc01,t0323, 0.7659456 ,
period1,sc01,t0324, 0.7526288 ,
period1,sc01,t0325, 0.7506772 ,
period1,sc01,t0326, 0.7196812 ,
period1,sc01,t0327, 0.7687008 ,
period1,sc01,t0328, 0.8491756 ,
period1,sc01,t0329, 0.8714468 ,
period1,sc01,t0330, 0.845272399999999 ,
period1,sc01,t0331, 0.7979748 ,
period1,sc01,t0332, 0.7199108 ,
period1,sc01,t0333, 0.5915644 ,
period1,sc01,t0334, 0.5014464 ,
period1,sc01,t0335, 0.459774 ,
period1,sc01,t0336, 0.4054736 ,
period1,sc01,t0337, 0.314552 ,
period1,sc01,t0338, 0.3126004 ,
period1,sc01,t0339, 0.2787344 ,
period1,sc01,t0340, 0.14924 ,
period1,sc01,t0341, 0.0916104 ,
period1,sc01,t0342, 0.055678 ,
period1,sc01,t0343, 6.94539999999999E-02 ,
period1,sc01,t0344, 0.1158332 ,
period1,sc01,t0345, 0.1610644 ,
period1,sc01,t0346, 0.2189236 ,
period1,sc01,t0347, 0.2046884 ,
period1,sc01,t0348, 0.134316 ,
period1,sc01,t0349, 0.0795564 ,
period1,sc01,t0350, 0.0693392 ,
period1,sc01,t0351, 0.0699132 ,
period1,sc01,t0352, 0.219268 ,
period1,sc01,t0353, 0.3148964 ,
period1,sc01,t0354, 0.354732 ,
period1,sc01,t0355, 0.3169628 ,
period1,sc01,t0356, 0.297332 ,
period1,sc01,t0357, 0.1431556 ,
period1,sc01,t0358, 0.2386692 ,
period1,sc01,t0359, 0.3563392 ,
period1,sc01,t0360, 0.3717224 ,
period1,sc01,t0361, 0.405818 ,
period1,sc01,t0362, 0.4147724 ,
period1,sc01,t0363, 0.4147724 ,
period1,sc01,t0364, 0.4427836 ,
period1,sc01,t0365, 0.4799788 ,
period1,sc01,t0366, 0.5233732 ,
period1,sc01,t0367, 0.7669788 ,
period1,sc01,t0368, 0.9945124 ,
period1,sc01,t0369, 1.0256232 ,
period1,sc01,t0370, 1.0442208 ,
period1,sc01,t0371, 1.1334204 ,
period1,sc01,t0372, 1.1408824 ,
period1,sc01,t0373, 1.0332 ,
period1,sc01,t0374, 1.261652 ,
period1,sc01,t0375, 1.5711528 ,
period1,sc01,t0376, 1.62063159999999 ,
period1,sc01,t0377, 1.67768719999999 ,
period1,sc01,t0378, 1.4913668 ,
period1,sc01,t0379, 1.0206868 ,
period1,sc01,t0380, 0.9188592 ,
period1,sc01,t0381, 0.7566468 ,
period1,sc01,t0382, 0.6852412 ,
period1,sc01,t0383, 0.5882352 ,
period1,sc01,t0384, 0.5340496 ,
period1,sc01,t0385, 0.5410524 ,
period1,sc01,t0386, 0.4929512 ,
period1,sc01,t0387, 0.483882 ,
period1,sc01,t0388, 0.468383999999999 ,
period1,sc01,t0389, 0.4777976 ,
period1,sc01,t0390, 0.52521 ,
period1,sc01,t0391, 0.6907516 ,
period1,sc01,t0392, 0.8135876 ,
period1,sc01,t0393, 0.8422876 ,
period1,sc01,t0394, 0.8336776 ,
period1,sc01,t0395, 0.848946 ,
period1,sc01,t0396, 0.874202 ,
period1,sc01,t0397, 0.9179408 ,
period1,sc01,t0398, 0.8622628 ,
period1,sc01,t0399, 0.828970799999999 ,
period1,sc01,t0400, 0.8675436 ,
period1,sc01,t0401, 0.8728244 ,
period1,sc01,t0402, 0.8789088 ,
period1,sc01,t0403, 0.8433208 ,
period1,sc01,t0404, 0.7713412 ,
period1,sc01,t0405, 0.6904072 ,
period1,sc01,t0406, 0.616820399999999 ,
period1,sc01,t0407, 0.5443816 ,
period1,sc01,t0408, 0.4975432 ,
period1,sc01,t0409, 0.457478 ,
period1,sc01,t0410, 0.4447352 ,
period1,sc01,t0411, 0.4441612 ,
period1,sc01,t0412, 0.4399136 ,
period1,sc01,t0413, 0.490196 ,
period1,sc01,t0414, 0.5977636 ,
period1,sc01,t0415, 0.766864 ,
period1,sc01,t0416, 0.9180556 ,
period1,sc01,t0417, 0.9477888 ,
period1,sc01,t0418, 0.9472148 ,
period1,sc01,t0419, 1.0322816 ,
period1,sc01,t0420, 1.135946 ,
period1,sc01,t0421, 1.2619964 ,
period1,sc01,t0422, 1.3723192 ,
period1,sc01,t0423, 1.4196168 ,
period1,sc01,t0424, 1.524544 ,
period1,sc01,t0425, 1.6442804 ,
period1,sc01,t0426, 1.7091424 ,
period1,sc01,t0427, 1.57827039999999 ,
period1,sc01,t0428, 1.4595672 ,
period1,sc01,t0429, 1.3887356 ,
period1,sc01,t0430, 1.376452 ,
period1,sc01,t0431, 0.9446892 ,
period1,sc01,t0432, 0.8698396 ,
period1,sc01,t0433, 0.9592688 ,
period1,sc01,t0434, 0.9537584 ,
period1,sc01,t0435, 0.949396 ,
period1,sc01,t0436, 0.9748816 ,
period1,sc01,t0437, 1.0658032 ,
period1,sc01,t0438, 1.2049408 ,
period1,sc01,t0439, 1.3571656 ,
period1,sc01,t0440, 1.7176376 ,
period1,sc01,t0441, 1.8359964 ,
period1,sc01,t0442, 1.7895024 ,
period1,sc01,t0443, 1.7772188 ,
period1,sc01,t0444, 1.5914724 ,
period1,sc01,t0445, 1.6814756 ,
period1,sc01,t0446, 1.7353168 ,
period1,sc01,t0447, 1.783418 ,
period1,sc01,t0448, 1.9553884 ,
period1,sc01,t0449, 2.0701884 ,
period1,sc01,t0450, 1.99465 ,
period1,sc01,t0451, 1.7978828 ,
period1,sc01,t0452, 1.739794 ,
period1,sc01,t0453, 1.672062 ,
period1,sc01,t0454, 1.64921679999999 ,
period1,sc01,t0455, 1.36612 ,
period1,sc01,t0456, 1.2192908 ,
period1,sc01,t0457, 1.1237772 ,
period1,sc01,t0458, 1.0323964 ,
period1,sc01,t0459, 0.9699452 ,
period1,sc01,t0460, 0.9492812 ,
period1,sc01,t0461, 0.9658124 ,
period1,sc01,t0462, 1.032626 ,
period1,sc01,t0463, 1.7148824 ,
period1,sc01,t0464, 1.7213112 ,
period1,sc01,t0465, 1.743812 ,
period1,sc01,t0466, 1.8366852 ,
period1,sc01,t0467, 2.3311288 ,
period1,sc01,t0468, 2.2160992 ,
period1,sc01,t0469, 1.7385312 ,
period1,sc01,t0470, 1.7187856 ,
period1,sc01,t0471, 1.7408272 ,
period1,sc01,t0472, 1.7180968 ,
period1,sc01,t0473, 1.7184412 ,
period1,sc01,t0474, 1.7462228 ,
period1,sc01,t0475, 1.7729712 ,
period1,sc01,t0476, 1.71913 ,
period1,sc01,t0477, 1.1160856 ,
period1,sc01,t0478, 1.028034 ,
period1,sc01,t0479, 0.9329796 ,
period1,sc01,t0480, 0.8605408 ,
period1,sc01,t0481, 0.7893648 ,
period1,sc01,t0482, 0.7689304 ,
period1,sc01,t0483, 0.773752 ,
period1,sc01,t0484, 0.7866096 ,
period1,sc01,t0485, 0.7946456 ,
period1,sc01,t0486, 0.8005004 ,
period1,sc01,t0487, 0.802566799999999 ,
period1,sc01,t0488, 1.1064424 ,
period1,sc01,t0489, 1.6398032 ,
period1,sc01,t0490, 1.9095832 ,
period1,sc01,t0491, 1.8516092 ,
period1,sc01,t0492, 1.7440416 ,
period1,sc01,t0493, 1.64037719999999 ,
period1,sc01,t0494, 1.5045688 ,
period1,sc01,t0495, 1.5064056 ,
period1,sc01,t0496, 1.5227072 ,
period1,sc01,t0497, 1.6159248 ,
period1,sc01,t0498, 1.9966016 ,
period1,sc01,t0499, 2.00440799999999 ,
period1,sc01,t0500, 1.6081184 ,
period1,sc01,t0501, 1.5441748 ,
period1,sc01,t0502, 1.4848232 ,
period1,sc01,t0503, 1.2383476 ,
period1,sc01,t0504, 1.0322816 ,
period1,sc01,t0505, 0.911512 ,
period1,sc01,t0506, 0.9088716 ,
period1,sc01,t0507, 0.8387288 ,
period1,sc01,t0508, 0.820246 ,
period1,sc01,t0509, 0.8037148 ,
period1,sc01,t0510, 0.7185332 ,
period1,sc01,t0511, 0.7051016 ,
period1,sc01,t0512, 0.7452816 ,
period1,sc01,t0513, 0.7389676 ,
period1,sc01,t0514, 0.9177112 ,
period1,sc01,t0515, 1.0329704 ,
period1,sc01,t0516, 1.3776 ,
period1,sc01,t0517, 1.2466132 ,
period1,sc01,t0518, 1.3773704 ,
period1,sc01,t0519, 1.6046744 ,
period1,sc01,t0520, 1.7481744 ,
period1,sc01,t0521, 1.9025804 ,
period1,sc01,t0522, 2.1357392 ,
period1,sc01,t0523, 2.24789879999999 ,
period1,sc01,t0524, 2.1956648 ,
period1,sc01,t0525, 1.3198556 ,
period1,sc01,t0526, 0.6369104 ,
period1,sc01,t0527, 0.6132616 ,
period1,sc01,t0528, 0.5830692 ,
period1,sc01,t0529, 1.1498368 ,
period1,sc01,t0530, 0.5647012 ,
period1,sc01,t0531, 0.544152 ,
period1,sc01,t0532, 0.5513844 ,
period1,sc01,t0533, 0.561946 ,
period1,sc01,t0534, 0.6730724 ,
period1,sc01,t0535, 1.6005416 ,
period1,sc01,t0536, 2.5200896 ,
period1,sc01,t0537, 2.8690816 ,
period1,sc01,t0538, 3.006038 ,
period1,sc01,t0539, 2.7803412 ,
period1,sc01,t0540, 2.561188 ,
period1,sc01,t0541, 2.457868 ,
period1,sc01,t0542, 2.4381224 ,
period1,sc01,t0543, 2.4411072 ,
period1,sc01,t0544, 2.4335304 ,
period1,sc01,t0545, 2.4982776 ,
period1,sc01,t0546, 2.7688612 ,
period1,sc01,t0547, 2.7538224 ,
period1,sc01,t0548, 1.313312 ,
period1,sc01,t0549, 0.8119804 ,
period1,sc01,t0550, 0.5846764 ,
period1,sc01,t0551, 0.5314092 ,
period1,sc01,t0552, 0.4795196 ,
period1,sc01,t0553, 0.3161592 ,
period1,sc01,t0554, 0.313978 ,
period1,sc01,t0555, 0.3140928 ,
period1,sc01,t0556, 0.3167332 ,
period1,sc01,t0557, 0.3238508 ,
period1,sc01,t0558, 0.3502548 ,
period1,sc01,t0559, 0.5976488 ,
period1,sc01,t0560, 1.5450932 ,
period1,sc01,t0561, 1.4153692 ,
period1,sc01,t0562, 2.2392888 ,
period1,sc01,t0563, 2.6521096 ,
period1,sc01,t0564, 2.558318 ,
period1,sc01,t0565, 2.4241168 ,
period1,sc01,t0566, 2.289112 ,
period1,sc01,t0567, 2.3948428 ,
period1,sc01,t0568, 2.4198692 ,
period1,sc01,t0569, 2.4956372 ,
period1,sc01,t0570, 2.77816 ,
period1,sc01,t0571, 1.6189096 ,
period1,sc01,t0572, 0.948248 ,
period1,sc01,t0573, 0.3285576 ,
period1,sc01,t0574, 0.312715199999999 ,
period1,sc01,t0575, 0.287574 ,
period1,sc01,t0576, 0.237636 ,
period1,sc01,t0577, 0.155554 ,
period1,sc01,t0578, 0.10332 ,
period1,sc01,t0579, 0.0525784 ,
period1,sc01,t0580, 0.047068 ,
period1,sc01,t0581, 0.0697984 ,
period1,sc01,t0582, 0.1283464 ,
period1,sc01,t0583, 0.2983652 ,
period1,sc01,t0584, 0.3205216 ,
period1,sc01,t0585, 0.3348716 ,
period1,sc01,t0586, 0.3373972 ,
period1,sc01,t0587, 0.3342976 ,
period1,sc01,t0588, 0.3337236 ,
period1,sc01,t0589, 0.3270652 ,
period1,sc01,t0590, 0.323162 ,
period1,sc01,t0591, 0.3285576 ,
period1,sc01,t0592, 0.3337236 ,
period1,sc01,t0593, 0.3441704 ,
period1,sc01,t0594, 0.3532396 ,
period1,sc01,t0595, 0.3675896 ,
period1,sc01,t0596, 0.3657528 ,
period1,sc01,t0597, 0.3619644 ,
period1,sc01,t0598, 0.379414 ,
period1,sc01,t0599, 0.3582908 ,
period1,sc01,t0600, 0.3445148 ,
period1,sc01,t0601, 0.4456536 ,
period1,sc01,t0602, 0.4587408 ,
period1,sc01,t0603, 0.4590852 ,
period1,sc01,t0604, 0.456100399999999 ,
period1,sc01,t0605, 0.4592 ,
period1,sc01,t0606, 0.4803232 ,
period1,sc01,t0607, 1.0895668 ,
period1,sc01,t0608, 1.4572712 ,
period1,sc01,t0609, 1.4948108 ,
period1,sc01,t0610, 1.4879228 ,
period1,sc01,t0611, 1.5064056 ,
period1,sc01,t0612, 1.5062908 ,
period1,sc01,t0613, 1.5116864 ,
period1,sc01,t0614, 1.4491204 ,
period1,sc01,t0615, 1.42639 ,
period1,sc01,t0616, 1.5011248 ,
period1,sc01,t0617, 1.5269548 ,
period1,sc01,t0618, 1.5422232 ,
period1,sc01,t0619, 1.5473892 ,
period1,sc01,t0620, 1.4927444 ,
period1,sc01,t0621, 1.2660144 ,
period1,sc01,t0622, 1.2229644 ,
period1,sc01,t0623, 0.7922348 ,
period1,sc01,t0624, 0.7011984 ,
period1,sc01,t0625, 0.9018688 ,
period1,sc01,t0626, 0.9403268 ,
period1,sc01,t0627, 1.0511088 ,
period1,sc01,t0628, 1.0901408 ,
