,,,EV_01,EV_02,EV_03,EV_04,EV_05,EV_06,EV_07,EV_08,EV_09,EV_10,BESS_01,Solar_01,Solar_02,Solar_03,Solar_04,Solar_05,Solar_06,Solar_07,Solar_08,Solar_09,Solar_10
period1,sc01,t0076, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,,,,,,,,,,,
period1,sc01,t0077, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,,,,,,,,,,,
period1,sc01,t0078, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,,,,,,,,,,,
period1,sc01,t0079, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,,,,,,,,,,,
period1,sc01,t0080, 0.47951988853819 , 0 , 0 , 0.591931683481313 , 0.879197391930388 , 0.856295544393626 , 1.98737092843218 , 0 , 0 , 0.95039051688921 ,,,,,,,,,,,
period1,sc01,t0081, 0.47951988853819 , 0.636799066486405 , 0 , 0.591931683481313 , 0.879197391930388 , 0.856295544393626 , 1.98737092843218 , 1.08149003129126 , 0.990152029494147 , 0.95039051688921 ,,,,,,,,,,,
period1,sc01,t0082, 0.47951988853819 , 0.636799066486405 , 0 , 0.591931683481313 , 0.879197391930388 , 0.856295544393626 , 1.98737092843218 , 1.08149003129126 , 0.990152029494147 , 0.95039051688921 ,,,,,,,,,,,
period1,sc01,t0083, 0.47951988853819 , 0.636799066486405 , 0 , 0.591931683481313 , 0.879197391930388 , 0.856295544393626 , 1.98737092843218 , 1.08149003129126 , 0.990152029494147 , 0.95039051688921 ,,,,,,,,,,,
period1,sc01,t0084, 0.47951988853819 , 0.636799066486405 , 0 , 0.591931683481313 , 0.879197391930388 , 0.856295544393626 , 1.98737092843218 , 1.08149003129126 , 0.990152029494147 , 0.95039051688921 ,,,,,,,,,,,
period1,sc01,t0085, 0.47951988853819 , 0.636799066486405 , 0 , 0.591931683481313 , 0.879197391930388 , 0.856295544393626 , 1.98737092843218 , 1.08149003129126 , 0.990152029494147 , 0.95039051688921 ,,,,,,,,,,,
period1,sc01,t0086, 0.47951988853819 , 0.636799066486405 , 0 , 0.591931683481313 , 0.879197391930388 , 0.856295544393626 , 1.98737092843218 , 1.08149003129126 , 0.990152029494147 , 0.95039051688921 ,,,,,,,,,,,
period1,sc01,t0087, 0.47951988853819 , 0.636799066486405 , 0 , 0.591931683481313 , 0.879197391930388 , 0.856295544393626 , 1.98737092843218 , 1.08149003129126 , 0.990152029494147 , 0.95039051688921 ,,,,,,,,,,,
period1,sc01,t0088, 0.47951988853819 , 0.636799066486405 , 0 , 0.591931683481313 , 0.879197391930388 , 0.856295544393626 , 1.98737092843218 , 1.08149003129126 , 0.990152029494147 , 0.95039051688921 ,,,,,,,,,,,
period1,sc01,t0089, 0.47951988853819 , 0.636799066486405 , 0 , 0 , 0.879197391930388 , 0.856295544393626 , 0 , 1.08149003129126 , 0.990152029494147 , 0.95039051688921 ,,,,,,,,,,,
period1,sc01,t0090, 0 , 0 , 0 , 0 , 0.879197391930388 , 0.856295544393626 , 0 , 1.08149003129126 , 0 , 0 ,,,,,,,,,,,
period1,sc01,t0091, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,,,,,,,,,,,
period1,sc01,t0092, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,,,,,,,,,,,
period1,sc01,t0093, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,,,,,,,,,,,
period1,sc01,t0094, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,,,,,,,,,,,
period1,sc01,t0095, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,,,,,,,,,,,
period1,sc01,t0096, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,,,,,,,,,,,
period1,sc01,t0097, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,,,,,,,,,,,
period1,sc01,t0098, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,,,,,,,,,,,
period1,sc01,t0099, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,,,,,,,,,,,
period1,sc01,t0100, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,,,,,,,,,,,
period1,sc01,t0101, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,,,,,,,,,,,
