datetime_utc,fcr_n_eur_mw,fcr_d_up_eur_mw,fcr_d_down_eur_mw
2025-01-02T13:00:00Z,14.35335463258786,6.8311160857051485,7.356042328042328
2025-01-02T14:00:00Z,16.683259587020647,7.47023227383863,7.241502645502645
2025-01-02T15:00:00Z,16.65744837758112,7.592351145038168,7.249206349206349
2025-01-02T16:00:00Z,16.68141592920354,7.076998921583731,7.2749100529100525
2025-01-02T17:00:00Z,15.0,3.0,7.278091710758377
2025-01-02T18:00:00Z,15.0,3.748702290076336,7.26536507936508
2025-01-02T19:00:00Z,15.0,3.738000611433812,7.284455026455027
2025-01-02T20:00:00Z,14.941918020108275,2.40257909215956,7.27641975308642
2025-01-02T21:00:00Z,15.0,2.681283422459893,7.284455026455027
2025-01-02T22:00:00Z,15.744475,6.191144385026738,7.159343915343915
2025-01-02T23:00:00Z,16.532083333333333,0.8690730837789661,2.8161861656703673
2025-01-03T00:00:00Z,16.464041666666667,0.8761617900172117,2.2601626684193232
2025-01-03T01:00:00Z,15.737869565217393,0.874354561101549,2.0982500821557672
2025-01-03T02:00:00Z,16.497666666666667,0.8968270944741532,2.1644259712985647
2025-01-03T03:00:00Z,16.988333333333333,0.8844028520499108,3.055936856554564
2025-01-03T04:00:00Z,19.731854838709676,0.9721170395869192,2.1683325004164584
2025-01-03T05:00:00Z,22.25625,0.9944059065934064,1.4902876067631166
2025-01-03T06:00:00Z,21.910416666666663,1.0261877033738651,1.6486218847994718
2025-01-03T07:00:00Z,21.536666666666665,1.04,1.7099802826158397
2025-01-03T08:00:00Z,21.535,1.4818899309856661,1.6898355428763217
2025-01-03T09:00:00Z,21.398695652173913,1.0,1.593963782696177
2025-01-03T10:00:00Z,21.53333333333333,1.0,1.5991376394994927
2025-01-03T11:00:00Z,18.81869565217391,1.4258003442340792,1.6499669312169312
2025-01-03T12:00:00Z,18.812916666666663,1.377659208261618,1.7609001751313484
2025-01-03T13:00:00Z,18.60108695652174,1.4177246127366607,1.7888966695132364
2025-01-03T14:00:00Z,18.620869565217394,1.9931679389312975,1.606340877914952
2025-01-03T15:00:00Z,18.62369565217391,2.0460091603053434,1.5695267489711935
2025-01-03T16:00:00Z,18.612391304347824,2.0296809160305345,1.5786485557083907
2025-01-03T17:00:00Z,17.413875,1.6885954198473283,1.5785219478737995
2025-01-03T18:00:00Z,18.32608695652174,1.6809366895499618,1.5755727023319617
2025-01-03T19:00:00Z,18.302833333333332,1.6918410232983097,1.6064012356272523
2025-01-03T20:00:00Z,17.19178260869565,1.04,1.6071269868398563
2025-01-03T21:00:00Z,18.242608695652173,0.993027725803708,1.790313195276399
2025-01-03T22:00:00Z,21.083333333333332,0.9657429649965682,1.7573464540210384
