,,,Solar_01,BESS_01,EV_01,AEL_01,PEMEL_01,EV_02,EV_03,EV_04,EV_05,EV_06,EV_07,EV_08,EV_09,EV_10,EV_11,EV_12,EV_13,EV_14,EV_15,EV_16,EV_17,EV_18,EV_19,EV_20
period1,sc01,t0152, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0153, 0.0000223 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0154, 0.105732849 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0155, 0.303023604 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0156, 0.504009562 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0157, 1.507755675 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0158, 1.039227261 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0159, 0.732641977 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0160, 0.056356045 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0161, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0162, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0163, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0164, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0165, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0166, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0167, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0168, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0169, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0170, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0171, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0172, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0173, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0174, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0175, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0176, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0177, 0.00000258 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0178, 0.010590744 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0179, 0.098655315 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0180, 0.140939627 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0181, 0.214879339 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0182, 0.11271396 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0183, 0.021132842 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0184, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0185, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0186, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0187, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0188, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0189, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0190, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0191, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0192, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0193, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0194, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0195, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0196, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0197, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0198, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0199, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0200, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0201, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0202, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0203, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0204, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0205, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0206, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0207, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0208, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0209, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0210, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0211, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0212, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0213, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0214, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0215, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0216, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0217, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0218, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0219, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0220, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0221, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0222, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0223, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0224, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0225, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0226, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0227, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0228, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0229, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0230, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0231, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0232, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0233, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0234, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0235, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0236, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0237, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0238, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0239, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0240, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0241, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0242, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0243, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0244, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
